URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength
https://www.thegoodscentscompany.com/data/rw1018301.html,9-decenoic acid,caproleic acid,dec-9-enoic acid,14436-32-9,170.25186000,C10 H18 O2,colorless to pale yellow clear liquid (est),95.00 to 100.00 sum of isomers,0.89300 to 0.91300 @  20.00 °C.,1.44500 to 1.44900 @  20.00 °C.,Tidak ditemukan,"269.00 to  271.00 °C. @  760.00 mm Hg, 95.00 °C. @    0.10 mm Hg",230.00 °F. TCC (  110.00 °C. ),waxy,"medium ,recommend smelling in a 10.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1019471.html,acetaldehyde,ethylaldehyde,acetaldehyde,75-07-0,44.05308000,C2 H4 O,colorless clear liquid (exp),99.00 to 100.00,0.77600 to 0.78600 @  20.00 °C.,1.32300 to 1.33700 @  20.00 °C.,-125.00 to -123.00 °C. @  760.00 mm Hg,"20.00 to   21.00 °C. @  760.00 mm Hg, -54.00 to  -53.00 °C. @   15.00 mm Hg",-40.00 °F. TCC (  -40.00 °C. ),ethereal,"high ,recommend smelling in a 0.10 % solution or less"
https://www.thegoodscentscompany.com/data/rw1007331.html,acetoin,3-hydroxy-2-butanone,3-hydroxybutan-2-one,513-86-0,88.10616000,C4 H8 O2,colorless to pale yellow liquid to solid (est),96.00 to 100.00,0.99500 to 1.01900 @  25.00 °C.,1.41700 to 1.42200 @  20.00 °C.,90.00 to   91.00 °C. @  760.00 mm Hg,147.00 to  148.00 °C. @  760.00 mm Hg,113.00 °F. TCC (   45.00 °C. ),buttery,"high ,recommend smelling in a 1.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1097191.html,acetic acid,ethanoic acid,acetic acid,64-19-7,60.05228000,C2 H4 O2,colorless clear liquid (est),95.00 to 100.00,1.04700 to 1.05900 @  25.00 °C.,1.36600 to 1.37600 @  20.00 °C.,16.60 to   16.70 °C. @  760.00 mm Hg,"117.00 to  118.00 °C. @  760.00 mm Hg, 48.00 to   49.00 °C. @   50.00 mm Hg",104.00 °F. TCC (   40.00 °C. ),acidic,"high ,recommend smelling in a 10.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1000131.html,acetophenone,1-phenyl-1-ethanone,1-phenylethanone,98-86-2,120.15096000,C8 H8 O,colorless to pale yellow clear liquid but solid at low temps (est),98.00 to 100.00,1.02500 to 1.03200 @  25.00 °C.,1.53300 to 1.53600 @  20.00 °C.,19.00 to   20.00 °C. @  760.00 mm Hg,"202.00 to  203.00 °C. @  760.00 mm Hg, 114.00 to  115.00 °C. @   50.00 mm Hg",179.00 °F. TCC (   81.67 °C. ),floral,"high ,recommend smelling in a 1.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1021051.html,allyl heptanoate,"heptanoic acid, 2-propenyl ester",prop-2-enyl heptanoate,142-19-8,170.25186000,C10 H18 O2,colorless to pale yellow clear liquid (est),99.00 to 100.00,0.88000 to 0.88500 @  25.00 °C.,1.42600 to 1.43000 @  20.00 °C.,Tidak ditemukan,210.00 to  212.00 °C. @  760.00 mm Hg,180.00 °F. TCC (   82.22 °C. ),fruity,medium
https://www.thegoodscentscompany.com/data/rw1000731.html,allyl hexanoate,allyl caproate,prop-2-enyl hexanoate,123-68-2,156.22492000,C9 H16 O2,colorless to pale yellow clear liquid (est),99.00 to  99.90,0.88400 to 0.89200 @  20.00 °C.,1.42200 to 1.42600 @  20.00 °C.,Tidak ditemukan,"185.00 °C. @  760.00 mm Hg, 75.00 to   76.00 °C. @   15.00 mm Hg",151.00 °F. TCC (   66.00 °C. ),fruity,"high ,recommend smelling in a 10.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1011952.html,alpha-ionone,"3-buten-2-one, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-, (3E)-","(E)-4-(2,6,6-trimethyl-1-cyclohex-2-enyl)but-3-en-2-one",127-41-3,192.30160000,C13 H20 O,colorless to pale yellow clear liquid (est),85.00 to 100.00 sum of isomers,0.92800 to 0.93600 @  20.00 °C.,1.49700 to 1.50200 @  20.00 °C.,Tidak ditemukan,"131.00 °C. @   13.00 mm Hg, 237.00 to  238.00 °C. @  760.00 mm Hg",> 230.00 °F. TCC ( > 110.00 °C. ),floral,"medium ,recommend smelling in a 10.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1009891.html,alpha-phellandrene,"p-mentha-1,5-diene","2-methyl-5-propan-2-ylcyclohexa-1,3-diene",99-83-2,136.23752000,C10 H16,colorless to pale yellow clear liquid (est),95.00 to 100.00,0.83500 to 0.86500 @  25.00 °C.,1.47100 to 1.47700 @  20.00 °C.,Tidak ditemukan,"175.00 to  176.00 °C. @  760.00 mm Hg, 93.00 to   94.00 °C. @   50.00 mm Hg",117.00 °F. TCC (   47.22 °C. ),terpenic,"medium ,recommend smelling in a 10.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1006351.html,alpha-pinene,DL-pin-2(3)-ene,"4,7,7-trimethylbicyclo[3.1.1]hept-3-ene",80-56-8,136.23752000,C10 H16,colorless to pale yellow clear liquid (est),97.00 to 100.00 sum of isomers,0.85400 to 0.86200 @  20.00 °C.,1.46400 @  25.00 °C.,-64.00 to  -62.00 °C. @  760.00 mm Hg,"155.00 to  156.00 °C. @  760.00 mm Hg, 72.00 to   73.00 °C. @   50.00 mm Hg",90.00 °F. TCC (   32.22 °C. ),herbal,"high ,recommend smelling in a 10.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1016031.html,alpha-terpinene,"p-mentha-1,3-diene","1-methyl-4-propan-2-ylcyclohexa-1,3-diene",99-86-5,136.23752000,C10 H16,colorless to pale yellow clear oily liquid (est),89.00 to 100.00,0.83300 to 0.83800 @  25.00 °C.,1.47500 to 1.48000 @  20.00 °C.,Tidak ditemukan,173.00 to  175.00 °C. @  760.00 mm Hg,115.00 °F. TCC (   46.11 °C. ),woody,"medium ,recommend smelling in a 10.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1011252.html,alpha-terpineol,2-(4-methyl-3-cyclohexen-1-yl)-2-propanol,2-(4-methyl-1-cyclohex-3-enyl)propan-2-ol,98-55-5,154.25266000,C10 H18 O,colorless viscous liquid to solid (est),96.00 to 100.00 sum of isomers,0.93000 to 0.93600 @  25.00 °C.,1.47400 to 1.48600 @  20.00 °C.,40.00 to   41.00 °C. @  760.00 mm Hg,"214.00 to  218.00 °C. @  760.00 mm Hg, 136.00 to  137.00 °C. @   50.00 mm Hg",191.00 °F. TCC (   88.33 °C. ),terpenic,medium
https://www.thegoodscentscompany.com/data/rw1011272.html,alpha-terpinyl acetate,2-(4-methyl-3-cyclohexen-1-yl)-2-propanyl acetate,2-(4-methyl-1-cyclohex-3-enyl)propan-2-yl acetate,80-26-2,196.28980000,C12 H20 O2,colorless clear liquid (est),96.00 to 100.00 sum of isomers,0.95500 to 0.96300 @  20.00 °C.,1.46300 to 1.46700 @  20.00 °C.,Tidak ditemukan,220.00 °C. @  760.00 mm Hg,211.00 °F. TCC (   99.44 °C. ),herbal,medium
https://www.thegoodscentscompany.com/data/ab1029391.html,ambrette seed absolute,abelmoschus moschatus seed absolute,hibiscus abelmoschus l. seed absolute,84455-19-6,Tidak ditemukan,Tidak ditemukan,pale yellow clear liquid (est),99.00 to 100.00,0.89800 to 0.90000 @  25.00 °C.,1.47000 to 1.47500 @  20.00 °C.,Tidak ditemukan,298.00 °C. @  755.00 mm Hg,188.00 °F. TCC (   86.67 °C. ),amber,"medium ,recommend smelling in a 10.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1004151.html,amyl butyrate,pentyl butyrate,pentyl butanoate,540-18-1,158.24086000,C9 H18 O2,colorless to pale yellow clear liquid (est),99.00 to 100.00 sum of isomers,0.86300 to 0.86600 @  25.00 °C.,1.40900 to 1.41400 @  20.00 °C.,-73.20 °C. @  760.00 mm Hg,"185.00 to  187.00 °C. @  760.00 mm Hg, 96.00 to   97.00 °C. @   50.00 mm Hg",154.00 °F. TCC (   67.78 °C. ),fruity,medium
https://www.thegoodscentscompany.com/data/rw1375541.html,anethol,1-methoxy-4-(1-propenyl)benzene,1-methoxy-4-prop-1-enylbenzene,104-46-1,148.20484000,C10 H12 O,colorless to pale yellow liquid to solid (est),98.00 to 100.00 sum of isomers,Tidak ditemukan,Tidak ditemukan,21.00 to   23.00 °C. @  760.00 mm Hg,"235.00 to  239.00 °C. @  760.00 mm Hg, 145.00 to  146.00 °C. @   50.00 mm Hg",191.00 °F. TCC (   88.40 °C. ) (est),licorice,Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1001272.html,para-anisaldehyde,p-methoxybenzaldehyde,4-methoxybenzaldehyde,123-11-5,136.15016000,C8 H8 O2,colorless to pale yellow clear oily liquid (est),98.00 to 100.00,1.11900 to 1.12600 @  25.00 °C.,1.57000 to 1.57400 @  20.00 °C.,-1.00 °C. @  760.00 mm Hg,"248.00 to  249.00 °C. @  760.00 mm Hg, 121.00 to  122.00 °C. @   10.00 mm Hg",228.00 °F. TCC (  108.89 °C. ),anisic,medium
https://www.thegoodscentscompany.com/data/rw1001491.html,benzaldehyde,artificial bitter almond oil,benzaldehyde,100-52-7,106.12402000,C7 H6 O,colorless to pale yellow clear liquid (est),98.00 to 100.00,1.04900 to 1.05500 @  15.00 °C.,1.54400 to 1.54600 @  20.00 °C.,-26.00 to  -25.00 °C. @  760.00 mm Hg,"62.00 to   63.00 °C. @   10.00 mm Hg, 178.00 to  179.00 °C. @  760.00 mm Hg",145.00 °F. TCC (   62.78 °C. ),fruity,"high ,recommend smelling in a 10.00 % solution or less"
https://www.thegoodscentscompany.com/data/rw1033731.html,benzoic acid,phenylcarboxylic acid,benzoic acid,65-85-0,122.12322000,C7 H6 O2,white crystalline powder (est),99.00 to 100.00,Tidak ditemukan,Tidak ditemukan,122.00 to  123.00 °C. @  760.00 mm Hg,"132.00 to  133.00 °C. @   10.00 mm Hg, 249.00 to  250.00 °C. @  760.00 mm Hg",250.00 °F. TCC (  121.11 °C. ),balsamic,low
https://www.thegoodscentscompany.com/data/rw1001612.html,benzyl acetate,"acetic acid, phenylmethyl ester",benzyl acetate,140-11-4,150.17710000,C9 H10 O2,colorless clear liquid (est),98.00 to 100.00,1.05900 to 1.06200 @  15.00 °C.,1.50000 to 1.50400 @  20.00 °C.,-51.00 to  -50.00 °C. @  760.00 mm Hg,"212.00 to  215.00 °C. @  760.00 mm Hg, 128.00 to  129.00 °C. @   50.00 mm Hg",203.00 °F. TCC (   95.00 °C. ),floral,medium
