URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength,Threshold,Description,Source,Soluble In,Insoluble In
https://www.thegoodscentscompany.com/data/rw1003311.html,isoamyl isobutyrate,isopentyl isobutyrate,3-methylbutyl 2-methylpropanoate,2050-01-3,158.24086000,C9 H18 O2,colorless clear liquid (est),98.00 to 100.00,0.85300 to 0.86000 @  25.00 °C.,1.40400 to 1.40900 @  20.00 °C.,Tidak ditemukan,168.00 to  171.00 °C. @  760.00 mm Hg,129.00 °F. TCC (   53.89 °C. ),fruity,medium,at 100.00 %.,fruity ethereal tropical green grape cherry unripe banana apple cocoa,"Luebke, William  tgsc, (2021)","alcohol; water, 136.1 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1003111.html,(±)-isomenthone,DL-isomenthone,5-methyl-2-propan-2-ylcyclohexan-1-one,36977-92-1,154.25266000,C10 H18 O,colorless clear liquid (est),96.00 to 100.00,0.89600 to 0.90900 @  25.00 °C.,1.44800 to 1.45800 @  20.00 °C.,Tidak ditemukan,208.00 °C. @  760.00 mm Hg,174.00 °F. TCC (   78.89 °C. ),mentholic,"medium ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,minty cool peppermint sweet,"Luebke, William  tgsc, (1997)","alcohol; fixed oils; paraffin oil; propylene glycol; water, slightly; water, 180.5 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1036811.html,isophorone,"3,5,5-trimethylcyclohex-2-en-1-one","3,5,5-trimethylcyclohex-2-en-1-one",78-59-1,138.20978000,C9 H14 O,colorless to pale yellow clear liquid (est),97.00 to 100.00,0.91900 to 0.92700 @  25.00 °C.,1.47400 to 1.48100 @  20.00 °C.,-8.00 °C. @  760.00 mm Hg,213.00 to  215.00 °C. @  760.00 mm Hg,184.00 °F. TCC (   84.44 °C. ),woody,Tidak ditemukan,at 0.10 % in propylene glycol.,cooling woody sweet green camphor fruity musty cedarwood tobacco leather,,"alcohol; water, 3010 mg/L @ 25 °C (est); water, 1.20E+04 mg/L @ 25 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1007401.html,isopropyl alcohol,isopropanol,propan-2-ol,67-63-0,60.09596000,C3 H8 O,colorless clear liquid (est),99.00 to 100.00,0.77800 to 0.78900 @  25.00 °C.,1.36700 to 1.37800 @  20.00 °C.,-83.00 to  -81.00 °C. @  760.00 mm Hg,"82.00 to   83.00 °C. @  760.00 mm Hg, 38.00 to   39.00 °C. @  100.00 mm Hg",53.00 °F. TCC (   11.67 °C. ),alcoholic,"medium ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,alcohol musty woody,"Luebke, William  tgsc, (1986)","alcohol; ether; water, 4.024e+005 mg/L @ 25 °C (est); water, 1.00E+06 mg/L @ 25 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1007401.html,isopropyl alcohol,isopropanol,propan-2-ol,67-63-0,60.09596000,C3 H8 O,colorless clear liquid (est),99.00 to 100.00,0.77800 to 0.78900 @  25.00 °C.,1.36700 to 1.37800 @  20.00 °C.,-83.00 to  -81.00 °C. @  760.00 mm Hg,"82.00 to   83.00 °C. @  760.00 mm Hg, 38.00 to   39.00 °C. @  100.00 mm Hg",53.00 °F. TCC (   11.67 °C. ),alcoholic,"medium ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,alcohol musty woody,"Luebke, William  tgsc, (1986)","alcohol; ether; water, 4.024e+005 mg/L @ 25 °C (est); water, 1.00E+06 mg/L @ 25 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1023131.html,isovaleraldehyde,3-methylbutyraldehyde,3-methylbutanal,590-86-3,86.13390000,C5 H10 O,colorless to pale yellow clear liquid (est),97.00 to 100.00,0.79500 to 0.80200 @  25.00 °C.,1.38800 to 1.39100 @  20.00 °C.,-51.00 °C. @  760.00 mm Hg,90.00 to   93.00 °C. @  760.00 mm Hg,29.00 °F. TCC (   -1.67 °C. ),aldehydic,"high ,recommend smelling in a 0.10 % solution or less",at 0.10 % in dipropylene glycol.,ethereal aldehydic chocolate peach fatty,"Luebke, William  tgsc, (2017)","alcohol; water, 14000 mg/L @ 20 °C (exp)",water
http://www.thegoodscentscompany.com/data/rw1007391.html,lactic acid,DL-2-hydroxypropanoic acid,2-hydroxypropanoic acid,50-21-5,90.07842000,C3 H6 O3,colorless clear viscous liquid or solid (est),95.00 to 100.00 sum of isomers,1.17200 to 1.21000 @  25.00 °C.,1.42600 to 1.43600 @  20.00 °C.,16.00 to   17.00 °C. @  760.00 mm Hg,122.00 °C. @   15.00 mm Hg,> 230.00 °F. TCC ( > 110.00 °C. ),odorless,none,at 100.00 %.,odorless,,"alcohol; ether; glycerin; water, 1000000 mg/L @ 20 °C (exp)",paraffin oil
http://www.thegoodscentscompany.com/data/rw1002741.html,laevo-carvone,L-carvone,(5R)-2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,6485-40-1,150.22078000,C10 H14 O,colorless to pale yellow clear liquid (est),97.00 to 100.00,0.95600 to 0.96000 @  25.00 °C.,1.49500 to 1.49900 @  20.00 °C.,Tidak ditemukan,227.00 to  230.00 °C. @  760.00 mm Hg,192.00 °F. TCC (   88.89 °C. ),minty,medium,at 100.00 %.,sweet spearmint herbal minty,"Luebke, William  tgsc, (1993)","alcohol; fixed oils; paraffin oil; propylene glycol; water, 367.1 mg/L @ 25 °C (est); water, 1310 mg/L @ 25 °C (exp)",glycerin
http://www.thegoodscentscompany.com/data/rw1007831.html,laevo-limonene,L-limonene,(4S)-1-methyl-4-prop-1-en-2-ylcyclohexene,5989-54-8,136.23752000,C10 H16,colorless clear liquid (est),95.00 to 100.00,0.84400 to 0.84800 @  15.00 °C.,1.47100 to 1.47500 @  20.00 °C.,Tidak ditemukan,176.00 to  177.00 °C. @  760.00 mm Hg,127.00 °F. TCC (   52.78 °C. ),terpenic,medium,at 100.00 %.,terpene pine herbal peppery,"Luebke, William  tgsc, (1996)","alcohol; fixed oils; water, 4.581 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1590321.html,"laevo-menthone 1,2-glycerol ketal",Tidak ditemukan,"[(6S,9R)-9-methyl-6-propan-2-yl-1,4-dioxaspiro[4.5]decan-3-yl]methanol",563187-91-7,228.33188000,C13 H24 O3,colorless clear liquid (est),95.00 to 100.00,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,odorless,Tidak ditemukan,,odorless,,"water, 27.28 mg/L @ 25 °C (est)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/es1007471.html,lavender oil,"essential oil distilled from the flowering herbs of the lavender, lavandula angustifolia, labiatae",lavandula angustifolia l. herb oil,8000-28-0,Tidak ditemukan,Tidak ditemukan,colorless to pale yellow clear liquid (est),Tidak ditemukan,0.87500 to 0.88800 @  25.00 °C.,1.45900 to 1.46900 @  20.00 °C.,Tidak ditemukan,204.00 °C. @  760.00 mm Hg,160.00 °F. TCC (   71.11 °C. ),floral,medium,at 100.00 %.,herbal floral spicy aromatic camphoreous balsamic eucalyptus woody,"Luebke, William  tgsc, (1982)","alcohol; paraffin oil, slightly cloudy; propylene glycol; water, 20.12 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1002741.html,laevo-carvone,L-carvone,(5R)-2-methyl-5-prop-1-en-2-ylcyclohex-2-en-1-one,6485-40-1,150.22078000,C10 H14 O,colorless to pale yellow clear liquid (est),97.00 to 100.00,0.95600 to 0.96000 @  25.00 °C.,1.49500 to 1.49900 @  20.00 °C.,Tidak ditemukan,227.00 to  230.00 °C. @  760.00 mm Hg,192.00 °F. TCC (   88.89 °C. ),minty,medium,at 100.00 %.,sweet spearmint herbal minty,"Luebke, William  tgsc, (1993)","alcohol; fixed oils; paraffin oil; propylene glycol; water, 367.1 mg/L @ 25 °C (est); water, 1310 mg/L @ 25 °C (exp)",glycerin
http://www.thegoodscentscompany.com/data/es1618881.html,lemon oil,"volatile oil obtained from the fresh peel of the lemon, citrus limon (l.), rutaceae",citrus limon l. burm. f. peel oil,8008-56-8,Tidak ditemukan,Tidak ditemukan,pale yellow to dark yellow clear liquid (est),Tidak ditemukan,0.84900 to 0.85500 @  25.00 °C.,1.47200 to 1.47400 @  20.00 °C.,Tidak ditemukan,176.00 °C. @  760.00 mm Hg,115.00 °F. TCC (   46.11 °C. ),citrus,medium,at 100.00 %.,citrus lemon,,"alcohol; water, 4.581 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/es1014872.html,lemon oil c.p. california,"volatile oil obtained from the fresh peel of the lemon, citrus limon (l.), rutaceae  california",citrus limon l. burm. f. peel oil c.p.,8008-56-8,Tidak ditemukan,Tidak ditemukan,pale yellow to dark yellow clear liquid (est),Tidak ditemukan,0.84900 to 0.85500 @  25.00 °C.,1.47200 to 1.47400 @  20.00 °C.,Tidak ditemukan,176.00 °C. @  760.00 mm Hg,115.00 °F. TCC (   46.11 °C. ),citrus,medium,at 100.00 %.,fresh lemon peel sweet citrus aldehydic terpenic aromatic tart spicy candy,"Luebke, William  tgsc, (1983)","fixed oils; paraffin oil; water, 4.581 mg/L @ 25 °C (est)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/es1651171.html,lemon oil folded,citrus limon peel oil folded,citrus limon l. burm. f. peel oil folded,8008-56-8,Tidak ditemukan,Tidak ditemukan,yellow clear liquid (est),Tidak ditemukan,0.84000 to 0.87900 @  25.00 °C.,1.46700 to 1.48500 @  20.00 °C.,Tidak ditemukan,Tidak ditemukan,130.00 °F. TCC (   54.44 °C. ),citrus,medium,at 100.00 %.,sweet fresh citrus lemon peel,,alcohol,water
http://www.thegoodscentscompany.com/data/es1101691.html,lemon oil c.p. argentina,"volatile oil obtained from the fresh peel of the lemon, citrus limon (l.), rutaceae  argentina",citrus limon l. burm. f. peel oil c.p.,8008-56-8,Tidak ditemukan,Tidak ditemukan,yello to greenish yellow clear liquid (est),Tidak ditemukan,0.84900 to 0.85500 @  25.00 °C.,1.47300 to 1.47600 @  20.00 °C.,Tidak ditemukan,177.00 °C. @  760.00 mm Hg,115.00 °F. TCC (   46.11 °C. ),citrus,Tidak ditemukan,at 100.00 %.,fresh citrus lemon aldehydic,,"alcohol; water, 4.581 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/es1618911.html,lime oil,citrus aurantiifolia swingle oil,citrus aurantifolia swingle oil,8008-26-2,Tidak ditemukan,Tidak ditemukan,pale yellow to greenish yellow clear liquid (est),Tidak ditemukan,0.85500 to 0.86300 @  25.00 °C.,1.47400 to 1.47600 @  20.00 °C.,Tidak ditemukan,182.00 °C. @  760.00 mm Hg,114.00 °F. TCC (   45.56 °C. ),citrus,medium,at 100.00 %.,citrus lime,,"alcohol; water, 47.5 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/es1003341.html,lime oil distilled mexico,"essential oil distilled from the acidic epicarps after the pressing the juice from the fruit of the lime, citrus aurantifolia, rutaceae mexico",citrus aurantifolia swingle oil distilled,8008-26-2,Tidak ditemukan,Tidak ditemukan,pale yellow to greenish yellow clear liquid (est),Tidak ditemukan,0.85500 to 0.86300 @  25.00 °C.,1.47400 to 1.47600 @  20.00 °C.,Tidak ditemukan,182.00 °C. @  760.00 mm Hg,114.00 °F. TCC (   45.56 °C. ),citrus,medium,at 100.00 %.,fresh lime sweet floral aldehydic terpene cologne tart woody,"Luebke, William  tgsc, (1986)","alcohol; fixed oils; water, 47.5 mg/L @ 25 °C (est)",water; glycerin; propylene glycol
http://www.thegoodscentscompany.com/data/rw1007872.html,linalool,"3,7-dimethyl-1,6-octadien-3-ol","3,7-dimethylocta-1,6-dien-3-ol",78-70-6,154.25266000,C10 H18 O,colorless clear liquid (est),99.00 to 100.00,0.85800 to 0.86700 @  25.00 °C.,1.45980 to 1.46050 @  20.00 °C.,Tidak ditemukan,"194.00 to  197.00 °C. @  760.00 mm Hg, 117.00 to  118.00 °C. @   50.00 mm Hg",173.00 °F. TCC (   78.33 °C. ),floral,medium,at 100.00 %.,citrus floral sweet bois de rose woody green blueberry,"Luebke, William  tgsc, (1983)",fixed oils; paraffin oil; propylene glycol; water 1590 mg/L @ 25 °C (exp),glycerin
