URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength,Threshold,Description,Source,Soluble In,Insoluble In
http://www.thegoodscentscompany.com/data/rw1007892.html,linalyl acetate,"1,6-octadien-3-ol, 3,7-dimethyl-, acetate","3,7-dimethylocta-1,6-dien-3-yl acetate",115-95-7,196.28980000,C12 H20 O2,colorless clear liquid (est),98.00 to 100.00,0.90300 to 0.91200 @  25.00 °C.,1.45100 to 1.45300 @  20.00 °C.,Tidak ditemukan,"220.00 °C. @  760.00 mm Hg, 115.00 to  116.00 °C. @   25.00 mm Hg",185.00 °F. TCC (   85.00 °C. ),herbal,medium,at 100.00 %.,sweet green citrus bergamot lavender woody,"Luebke, William  tgsc, (1982)","alcohol; fixed oils; paraffin oil; water, 20.12 mg/L @ 25 °C (est)",water; glycerin
http://www.thegoodscentscompany.com/data/rw1030551.html,linalyl butyrate,"butyric acid, linalyl ester","3,7-dimethylocta-1,6-dien-3-yl butanoate",78-36-4,224.34368000,C14 H24 O2,colorless to pale yellow clear liquid (est),97.00 to 100.00,0.88500 to 0.91500 @  25.00 °C.,1.44000 to 1.47000 @  20.00 °C.,Tidak ditemukan,"80.00 to   82.00 °C. @    0.20 mm Hg, 232.00 °C. @  760.00 mm Hg",218.00 °F. TCC (  103.33 °C. ),floral,Tidak ditemukan,at 100.00 %.,bergamot fruity banana berry,,"alcohol; water, 0.8485 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1030561.html,linalyl formate,formic acid linalyl ester,"3,7-dimethylocta-1,6-dien-3-yl formate",115-99-1,182.26286000,C11 H18 O2,colorless to pale yellow clear liquid (est),98.00 to 100.00,0.91400 @  25.00 °C.,Tidak ditemukan,Tidak ditemukan,"100.00 to  103.00 °C. @   10.00 mm Hg, 202.00 °C. @  760.00 mm Hg",186.00 °F. TCC (   85.56 °C. ),herbal,medium,at 100.00 %.,citrus herbal bergamot lavender soapy fatty green woody,"Luebke, William  tgsc, (2021)","alcohol; fixed oils; water, 28.25 mg/L @ 25 °C (est)",glycerin; water
http://www.thegoodscentscompany.com/data/rw1011632.html,laevo-linalool,L-linalool,"(3R)-3,7-dimethylocta-1,6-dien-3-ol",126-91-0,154.25266000,C10 H18 O,colorless clear liquid (est),98.00 to 100.00,0.86000 to 0.86700 @  25.00 °C.,1.46000 to 1.46500 @  20.00 °C.,Tidak ditemukan,"198.00 °C. @  760.00 mm Hg, 197.00 to  199.00 °C. @  760.00 mm Hg",160.00 °F. TCC (   71.11 °C. ),floral,medium,at 100.00 %.,fresh floral woody natural deep lavender,"Luebke, William  tgsc, (1999)","alcohol; dipropylene glycol; fixed oils; mineral oil; propylene glycol; water, 683.7 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1590321.html,"laevo-menthone 1,2-glycerol ketal",Tidak ditemukan,"[(6S,9R)-9-methyl-6-propan-2-yl-1,4-dioxaspiro[4.5]decan-3-yl]methanol",563187-91-7,228.33188000,C13 H24 O3,colorless clear liquid (est),95.00 to 100.00,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,odorless,Tidak ditemukan,,odorless,,"water, 27.28 mg/L @ 25 °C (est)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1002342.html,maltol,2-methyl-3-hydroxypyrone,3-hydroxy-2-methylpyran-4-one,118-71-8,126.11142000,C6 H6 O3,white powder (est),98.00 to 100.00,Tidak ditemukan,Tidak ditemukan,159.00 to  162.00 °C. @  760.00 mm Hg,284.70 °C. @  760.00 mm Hg (est),240.00 °F. TCC (  115.56 °C. ),caramellic,"high ,recommend smelling in a 5.00 % solution or less",at 5.00 % in benzyl alcohol.,sweet caramel cotton candy jam fruity baked bread,"Luebke, William  tgsc, (1996)","alcohol; benzyl alcohol; chloroform; glycerin, 1.2% in glycerin; NaOH solutions yielding CO2; phenoxyethanol; propylene glycol, 2.8% in propylene glycol; water, hot water; water, 1.09E+04 mg/L @ 15 °C (exp)",paraffin oil; isopropyl myristate
http://www.thegoodscentscompany.com/data/rw1042761.html,mango furanone,"2,5-dimethyl-3(2H)-furanone","2,5-dimethylfuran-3-one",14400-67-0,112.12816000,C6 H8 O2,yellow clear liquid (est),95.00 to 100.00,1.04100 to 1.07000 @  25.00 °C.,1.47000 to 1.49000 @  20.00 °C.,259.00 to  261.00 °C. @  760.00 mm Hg,"259.00 to  261.00 °C. @  760.00 mm Hg, 72.00 °C. @   13.00 mm Hg",125.00 °F. TCC (   51.67 °C. ),caramellic,Tidak ditemukan,at 1.00 % in dipropylene glycol.,fruity ester caramel,,"alcohol; water, slightly; water, 4.634e+004 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1019891.html,melon heptenal,Tidak ditemukan,"2,6-dimethylhept-5-enal",106-72-9,140.22572000,C9 H16 O,pale yellow clear liquid (est),85.00 to 100.00,0.83900 to 0.85000 @  25.00 °C.,1.43900 to 1.44900 @  20.00 °C.,Tidak ditemukan,"80.00 °C. @   19.00 mm Hg, 116.00 to  124.00 °C. @  100.00 mm Hg",142.00 °F. TCC (   61.00 °C. ),melon,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in dipropylene glycol.,fresh ozone melon fresh air sweet clean green,"Luebke, William  tgsc, (1989)","alcohol; paraffin oil; water, 212 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/es1003041.html,cornmint oil,"oil derived from the leaves of the horse mint, mentha arvensis l., labiatae",mentha arvensis l. leaf oil,68917-18-0,Tidak ditemukan,Tidak ditemukan,colorless to pale yellow clear liquid (est),Tidak ditemukan,0.89500 to 0.89900 @  25.00 °C.,1.44900 to 1.46200 @  20.00 °C.,Tidak ditemukan,Tidak ditemukan,169.00 °F. TCC (   76.11 °C. ),mentholic,"high ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,minty peppermint mentholic herbal,"Luebke, William  tgsc, (1990)","fixed oils; paraffin oil; propylene glycol; water, 180.5 mg/L @ 25 °C (est)",glycerin
http://www.thegoodscentscompany.com/data/rw1310491.html,(±)-menthol,DL-menthol,5-methyl-2-propan-2-ylcyclohexan-1-ol,1490-04-6,156.26860000,C10 H20 O,colorless crystallin solid (est),97.00 to 100.00,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,214.00 to  216.00 °C. @  760.00 mm Hg,200.00 °F. TCC (   93.33 °C. ),mentholic,Tidak ditemukan,at 10.00 % in dipropylene glycol.,cooling mentholic minty,,"alcohol; water, 434.5 mg/L @ 25 °C (est); water, 420 mg/L @ 25 °C (exp)",Tidak ditemukan
