URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength,Threshold,Description,Source,Soluble In,Insoluble In
http://www.thegoodscentscompany.com/data/rw1000972.html,hydroxycitronellal,"3,7-dimethyl-7-hydroxyoctanal","7-hydroxy-3,7-dimethyloctanal",107-75-5,172.26780000,C10 H20 O2,colorless to pale yellow clear oily liquid (est),98.00 to 100.00,0.92500 to 0.93000 @  15.00 °C.,1.44700 to 1.45000 @  20.00 °C.,Tidak ditemukan,"241.00 °C. @  760.00 mm Hg, 94.00 to   96.00 °C. @    1.00 mm Hg",255.00 °F. TCC (  123.89 °C. ),floral,medium,at 100.00 %.,floral lily sweet green waxy tropical melon,"Luebke, William  tgsc, (1982)","benzyl alcohol; essential oils; ethyl alcohol, 1 part 50% alcohol; ethyl alcohol, 1.5 vol of 50% alcohol; ethyl alcohol, 60% alcohol; fixed oils; paraffin oil, slightly; water, slightly; water, 3042 mg/L @ 25 °C (est)",glycerin
http://www.thegoodscentscompany.com/data/rw1014291.html,heptanal (aldehyde C-7),oenanthic aldehyde,heptanal,111-71-7,114.18778000,C7 H14 O,colorless clear liquid (est),92.00 to 100.00,0.81500 to 0.82000 @  25.00 °C.,1.41200 to 1.42000 @  20.00 °C.,-43.00 to  -42.00 °C. @  760.00 mm Hg,"152.00 to  153.00 °C. @  760.00 mm Hg, 74.00 to   75.00 °C. @   50.00 mm Hg",95.00 °F. TCC (   35.00 °C. ),green,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in dipropylene glycol.,fresh aldehydic fatty green herbal wine-lee ozone,"Luebke, William  tgsc, (1984)","alcohol; fixed oils; water, 1167 mg/L @ 25 °C (est)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1036121.html,2-furyl pentyl ketone,pentyl 2-furyl ketone,1-furan-2-ylhexan-1-one,14360-50-0,166.21998000,C10 H14 O2,yellow to brown clear liquid (est),99.00 to 100.00,0.99200 to 0.99800 @  25.00 °C.,1.49000 to 1.49600 @  20.00 °C.,Tidak ditemukan,"65.00 to   67.00 °C. @    0.50 mm Hg, 136.00 °C. @   30.00 mm Hg",225.00 °F. TCC (  107.22 °C. ),fruity,Tidak ditemukan,at 1.00 % in dipropylene glycol.,sweet fruity ketone green apricot peach,,"alcohol; water, 281.5 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1011531.html,fenchol,fenchyl alcohol,"1,3,3-trimethylbicyclo[2.2.1]heptan-2-ol",1632-73-1,154.25266000,C10 H18 O,pale yellow solid (est),97.00 to 100.00,Tidak ditemukan,Tidak ditemukan,35.00 to   40.00 °C. @  760.00 mm Hg,"201.00 to  202.00 °C. @  760.00 mm Hg, 122.00 to  123.00 °C. @   50.00 mm Hg",165.00 °F. TCC (   73.89 °C. ),camphoreous,medium,at 100.00 %.,camphor borneol pine woody dry sweet lemon,"Luebke, William  tgsc, (1989)","alcohol; water, 461.4 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1013601.html,2-isobutyl-3-methoxypyrazine,2-methoxy-3-isobutylpyrazine,2-methoxy-3-(2-methylpropyl)pyrazine,24683-00-9,166.22378000,C9 H14 N2 O,colorless to pale yellow clear liquid (est),95.00 to 100.00,0.99250 to 1.00250 @  25.00 °C.,1.48900 to 1.49700 @  20.00 °C.,Tidak ditemukan,214.00 to  215.00 °C. @  760.00 mm Hg,176.00 °F. TCC (   80.00 °C. ),green,Tidak ditemukan,at 0.10 % in dipropylene glycol.,green pea green bell pepper green pea galbanum,,"alcohol; water, 229.6 mg/L @ 25 °C (est)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1021111.html,isoamyl cinnamate,isopentyl cinnamate,3-methylbutyl 3-phenylprop-2-enoate,7779-65-9,218.29586000,C14 H18 O2,colorless to pale yellow clear liquid (est),97.00 to 100.00,0.99200 to 0.09970 @  25.00 °C.,1.53500 to 1.53900 @  20.00 °C.,Tidak ditemukan,"310.00 °C. @  760.00 mm Hg, 192.00 °C. @   30.00 mm Hg",> 212.00 °F. TCC ( > 100.00 °C. ),balsamic,medium,at 100.00 %.,floral amber cocoa orchid musty,"Luebke, William  tgsc, (1986)","alcohol; fixed oils; water, 8.282 mg/L @ 25 °C (est)",water; glycerin
http://www.thegoodscentscompany.com/data/rw1019811.html,isoamyl octanoate,isoamyl caprylate,3-methylbutyl octanoate,2035-99-6,214.34862000,C13 H26 O2,colorless clear liquid (est),98.00 to 100.00,0.85500 to 0.86100 @  25.00 °C.,Tidak ditemukan,Tidak ditemukan,"267.00 to  268.00 °C. @  760.00 mm Hg, 150.00 °C. @   30.00 mm Hg",> 230.00 °F. TCC ( > 110.00 °C. ),fruity,medium,at 100.00 %.,sweet oily fruity green soapy pineapple coconut,"Luebke, William  tgsc, (1989)","alcohol; fixed oils; water, 1.309 mg/L @ 25 °C (est)",water; glycerin
http://www.thegoodscentscompany.com/data/rw1006911.html,isoeugenol,2-methoxy-4-(1-methylvinyl)phenol,2-methoxy-4-prop-1-en-2-ylphenol,97-54-1,164.20404000,C10 H12 O2,colorless to yellow clear liquid (est),99.00 to 100.00 sum of isomers,1.08000 to 1.08800 @  20.00 °C.,1.57200 to 1.57800 @  20.00 °C.,14.00 to   18.00 °C. @  760.00 mm Hg,"125.00 to  126.00 °C. @   14.00 mm Hg, 266.00 to  267.00 °C. @  760.00 mm Hg",> 212.00 °F. TCC ( > 100.00 °C. ),spicy,medium,at 100.00 %.,sweet spicy clove woody allspice carnation floral,"Luebke, William  tgsc, (1985)","fixed oils; kerosene; paraffin oil, cloudy; water, 165.9 mg/L @ 25 °C (est)",glycerin; water
http://www.thegoodscentscompany.com/data/ab1591071.html,jasmin absolute egypt (from concrete),jasminum grandiflorum absolute egypt (from concrete),jasminum grandiflorum l. absolute,8022-96-6,Tidak ditemukan,Tidak ditemukan,reddish brown clear oily liquid (est),Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,152.00 °F. TCC (   66.67 °C. ),floral,medium,at 100.00 %.,deep sweet jasmin jam herbal fruity waxy tropical,"Luebke, William  tgsc, (2017)","alcohol; dipropylene glycol; water, 1344 mg/L @ 25 °C (est)",water; propylene glycol
http://www.thegoodscentscompany.com/data/rw1524961.html,2-tropical oxathiane,"2-methyl-4-propyl-1,3-oxathiane","2-methyl-4-propyl-1,3-oxathiane",67715-80-4,160.27972000,C8 H16 O S,colorless to pale yellow clear liquid (est),95.00 to 100.00 sum of isomers,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,"200.00 to  201.00 °C. @  760.00 mm Hg, 89.00 to   90.00 °C. @   12.00 mm Hg",122.00 °F. TCC (   50.00 °C. ),tropical,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in dipropylene glycol.,green tropical galbanum pineapple,,"alcohol; oils; water, 672.1 mg/L @ 25 °C (est)",water
