URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength,Threshold,Description,Source,Soluble In,Insoluble In
http://www.thegoodscentscompany.com/data/ex1403861.html,licorice extract,"extract from the dried rhizomes and roots of the licorice, glycyrrhiza glabra l., leguminosae",glycyrrhiza glabra l. extract powder,68916-91-6,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,licorice,Tidak ditemukan,at 100.00 %.,licorice,,Tidak ditemukan,Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1038141.html,filbert heptenone,5-methylhept-2-en-4-one,5-methylhept-2-en-4-one,81925-81-7,126.19878000,C8 H14 O,colorless to yellow clear liquid (est),98.00 to 100.00 sum of isomers,0.84500 to 0.85200 @  25.00 °C.,1.44000 to 1.44500 @  20.00 °C.,Tidak ditemukan,170.00 to  173.00 °C. @  760.00 mm Hg,126.00 °F. TCC (   52.22 °C. ),nutty,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in dipropylene glycol.,raw nut skin myrcene ketonic sweet hazelnut filbert,"Luebke, William  tgsc, (2009)","alcohol; water, 1208 mg/L @ 25 °C (est)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1032211.html,methyl benzyl carbinyl acetate,"acetic acid, a-methyl-phenethyl ester",1-phenylpropan-2-yl acetate,2114-33-2,178.23098000,C11 H14 O2,colorless clear liquid (est),Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,245.00 to  246.00 °C. @  760.00 mm Hg,217.00 °F. TCC (  102.78 °C. ),Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,"water, 157.2 mg/L @ 25 °C (est)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1007021.html,methyl 3-(methyl thio) propionate,methyl 3-methylthiopropionate,methyl 3-methylsulfanylpropanoate,13532-18-8,134.19810000,C5 H10 O2 S,colorless to pale yellow clear liquid (est),98.00 to 100.00,1.06400 to 1.07500 @  25.00 °C.,1.46000 to 1.46800 @  20.00 °C.,Tidak ditemukan,"74.00 to   75.00 °C. @   13.00 mm Hg, 180.00 to  182.00 °C. @  760.00 mm Hg",162.00 °F. TCC (   72.22 °C. ),sulfurous,Tidak ditemukan,at 0.10 % in propylene glycol.,sulfurous vegetable onion sweet garlic tomato,,"alcohol; dipropylene glycol; water, very slightly; water, 1.364e+004 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1147941.html,"1,3-propane diol","1,3-propanediol","propane-1,3-diol",504-63-2,76.09516000,C3 H8 O2,colorless clear liquid (est),95.00 to 100.00,1.05300 to 1.05600 @  20.00 °C.,1.43800 to 1.44100 @  20.00 °C.,Tidak ditemukan,214.00 to  215.00 °C. @  760.00 mm Hg,175.00 °F. TCC (   79.44 °C. ),Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,"alcohol; water, 1e+006 mg/L @ 25 °C (est)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1027441.html,(R)-1-octen-3-ol,R-(-)-1-octen-3-ol,(3R)-oct-1-en-3-ol,3687-48-7,128.21472000,C8 H16 O,colorless clear liquid (est),98.00 to 100.00,0.83200 to 0.83800 @  25.00 °C.,1.43500 to 1.44100 @  20.00 °C.,Tidak ditemukan,173.00 to  175.00 °C. @  760.00 mm Hg,145.00 °F. TCC (   62.78 °C. ),mushroom,"high ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,fresh fungal fruity genuine mushroom earthy violet melon humus,"Luebke, William  tgsc, (2017)","alcohol; water, 1836 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1027981.html,1-octen-3-one,vinyl amyl ketone,oct-1-en-3-one,4312-99-6,126.19878000,C8 H14 O,colorless clear liquid (est),96.00 to 100.00 sum of isomers,0.81300 to 0.81900 @  25.00 °C.,1.42800 to 1.43900 @  20.00 °C.,Tidak ditemukan,"59.00 to   60.00 °C. @   16.00 mm Hg, 174.00 to  182.00 °C. @  760.00 mm Hg",125.00 °F. TCC (   51.67 °C. ),earthy,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in dipropylene glycol.,herbal mushroom earthy musty dirty,,"alcohol; water, 895.4 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/es1031791.html,cedarwood oil himalaya,cedrus deodara oil himalaya,cedrus deodara (roxb.) loud. wood oil,68991-36-6,Tidak ditemukan,Tidak ditemukan,brownish yellow clear liquid (est),Tidak ditemukan,0.97200 to 0.98300 @  25.00 °C.,1.51400 to 1.52900 @  20.00 °C.,Tidak ditemukan,Tidak ditemukan,197.00 °F. TCC (   91.67 °C. ),woody,medium,at 100.00 %.,cedar like atlis cedar,"Luebke, William  tgsc, (1987)","alcohol; paraffin oil; water, 1.078 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1010031.html,phenethyl acetate,"acetic acid, 2-phenylethyl ester",2-phenylethyl acetate,103-45-7,164.20404000,C10 H12 O2,colorless clear liquid (est),98.00 to 100.00,1.02900 to 1.03700 @  20.00 °C.,1.49600 to 1.50200 @  20.00 °C.,-31.10 °C. @  760.00 mm Hg,238.00 to  239.00 °C. @  760.00 mm Hg,221.00 °F. TCC (  105.00 °C. ),floral,medium,at 100.00 %.,floral rose sweet honey fruity tropical,"Luebke, William  tgsc, (1982)","alcohol; dipropylene glycol; fixed oils; kerosene; propylene glycol; water, 710.8 mg/L @ 25 °C (est)",paraffin oil; water; glycerin
http://www.thegoodscentscompany.com/data/rw1010111.html,phenethyl phenyl acetate,phenethyl phenylacetate,2-phenylethyl 2-phenylacetate,102-20-5,240.30192000,C16 H16 O2,colorless to pale yellow crystalline solid (est),98.00 to 100.00,1.07800 to 1.08600 @  20.00 °C.,1.54700 to 1.55200 @  20.00 °C.,28.00 °C. @  760.00 mm Hg,"324.00 to  325.00 °C. @  760.00 mm Hg, 177.00 to  178.00 °C. @    5.00 mm Hg",> 212.00 °F. TCC ( > 100.00 °C. ),floral,medium,at 100.00 %.,floral sweet rose honey balsam,"Luebke, William  tgsc, (1984)","alcohol; water, 5.921 mg/L @ 25 °C (est)",Tidak ditemukan
