URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength,Threshold,Description,Source,Soluble In,Insoluble In
https://www.thegoodscentscompany.com/data/rw1589901.html,gamma-tocopherol,"3,4-dihydro-2,7,8-trimethyl-2-(4,8,12-trimethyl tridecyl)-2H-1-benzopyran-6-ol","2,7,8-trimethyl-2-(4,8,12-trimethyltridecyl)-3,4-dihydrochromen-6-ol",7616-22-0,416.68896000,C28 H48 O2,Tidak ditemukan,98.00 to 100.00,Tidak ditemukan,Tidak ditemukan,-3.00 °C. @  760.00 mm Hg,518.00 to  519.00 °C. @  760.00 mm Hg (est),403.00 °F. TCC (  206.00 °C. ) (est),Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,"alcohol; water, 1.069e-006 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1006501.html,(R)-(+)-pulegone,pulegone,(5R)-5-methyl-2-propan-2-ylidenecyclohexan-1-one,89-82-7,152.23672000,C10 H16 O,colorless clear oily liquid (est),85.00 to 100.00,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,"220.00 to  222.00 °C. @  760.00 mm Hg, 132.00 to  133.00 °C. @   50.00 mm Hg",180.00 °F. TCC (   82.22 °C. ),minty,medium,at 100.00 %.,peppermint camphor fresh herbal buchu,"Luebke, William  tgsc, (1985)","alcohol; water, 173.7 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1105941.html,alpha-tocophenol,vitaplex E,Tidak ditemukan,59-02-9,430.71590000,C29 H50 O2,pale yellow to red clear liquid (est),95.00 to 100.00,Tidak ditemukan,Tidak ditemukan,2.00 to    3.00 °C. @  760.00 mm Hg,482.00 to  485.00 °C. @  760.00 mm Hg,410.00 °F. TCC (  210.00 °C. ),Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,"alcohol; water, 2.978e-007 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1005041.html,carvyl acetate,acetic acid carvyl ester,(2-methyl-5-prop-1-en-2-yl-1-cyclohex-2-enyl) acetate,97-42-7,194.27386000,C12 H18 O2,colorless to pale yellow clear liquid (est),98.00 to 100.00,0.96400 to 0.97000 @  25.00 °C.,1.47300 to 1.47900 @  20.00 °C.,Tidak ditemukan,"115.00 to  116.00 °C. @   10.00 mm Hg, 77.00 to   79.00 °C. @    0.10 mm Hg",208.00 °F. TCC (   97.78 °C. ),minty,medium,at 100.00 %.,green minty spearmint nasturtium herbal rummy grape pear spicy,"Luebke, William  tgsc, (2021)","alcohol; water, 10.06 mg/L @ 25 °C (est)",Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1014351.html,(-)-isopulegol,"1R,2S,5R-isopulegol","(1R,2R,5S)-5-methyl-2-prop-1-en-2-ylcyclohexan-1-ol",89-79-2,154.25266000,C10 H18 O,colorless clear liquid (est),95.00 to 100.00,0.90400 to 0.91300 @  25.00 °C.,1.46800 to 1.47700 @  20.00 °C.,78.00 °C. @  760.00 mm Hg,"216.00 to  218.00 °C. @  760.00 mm Hg, 91.00 °C. @   12.00 mm Hg",195.00 °F. TCC (   90.56 °C. ),minty,"medium ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,minty cooling medicinal woody,"Luebke, William  tgsc, (2017)","alcohol; water, 308.6 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1036511.html,"1,6-hexane dithiol","1,6-hexanedithiol","hexane-1,6-dithiol",1191-43-1,174.32958000,C8 H14 S2,colorless clear liquid (est),97.00 to 100.00,0.99500 to 0.99800 @  20.00 °C.,1.51100 to 1.51500 @  20.00 °C.,-21.00 °C. @  760.00 mm Hg,"118.00 to  119.00 °C. @   15.00 mm Hg, 242.00 to  243.00 °C. @  760.00 mm Hg",195.00 °F. TCC (   90.56 °C. ),burnt,Tidak ditemukan,at 0.10 % in propylene glycol.,burnt fatty meaty fungal sulfurous,,"alcohol; fats; water, 146.9 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1012221.html,2-acetyl pyridine,2-acetylpyridine,1-pyridin-2-ylethanone,1122-62-9,121.13899000,C7 H7 N O,pale yellow to brown clear liquid (est),97.00 to 100.00,1.07700 to 1.08400 @  25.00 °C.,1.51800 to 1.52400 @  20.00 °C.,Tidak ditemukan,"189.00 to  193.00 °C. @  760.00 mm Hg, 78.00 °C. @   12.00 mm Hg",164.00 °F. TCC (   73.33 °C. ),popcorn,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in propylene glycol.,popcorn heavy corn chip fatty tobacco,"Luebke, William  tgsc, (1996)","alcohol; dipropylene glycol; ethyl ether; water, 1.868e+004 mg/L @ 25 °C (est); water, 1.87E+04 mg/L @ 17C (exp)",Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1007581.html,methyl ethyl ketone,2-butanone,butan-2-one,78-93-3,72.10696000,C4 H8 O,colorless clear liquid (est),99.50 to 100.00,0.80100 to 0.80300 @  25.00 °C.,1.37700 to 1.38000 @  20.00 °C.,-85.00 to  -87.00 °C. @  760.00 mm Hg,78.60 to   80.00 °C. @  760.00 mm Hg,26.00 °F. TCC (   -3.33 °C. ),ethereal,Tidak ditemukan,at 1.00 % in dipropylene glycol.,acetone-like ethereal fruity camphor,,"alcohol; fixed oils; water, 2.23E+05 mg/L @ 25 °C (exp)",Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1008381.html,2-ethyl pyrazine,2-ethylpyrazine,2-ethylpyrazine,13925-00-3,108.14376000,C6 H8 N2,colorless to pale yellow clear liquid (est),98.00 to 100.00,0.99500 to 0.99800 @  20.00 °C.,1.49800 to 1.50000 @  20.00 °C.,Tidak ditemukan,"152.00 to  153.00 °C. @  760.00 mm Hg, 122.00 to  124.00 °C. @   90.00 mm Hg",109.00 °F. TCC (   42.78 °C. ),nutty,Tidak ditemukan,at 1.00 % in dipropylene glycol.,peanut butter musty nutty woody roasted cocoa,,"alcohol; water, 2.841e+004 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1005371.html,2-isobutyl thiazole,2-isobutylthiazole,"2-(2-methylpropyl)-1,3-thiazole",18640-74-9,141.23667000,C7 H11 N S,colorless to pale yellow clear liquid (est),96.00 to 100.00,1.00000 to 1.00400 @  20.00 °C.,1.49000 to 1.49900 @  20.00 °C.,Tidak ditemukan,174.00 to  180.00 °C. @  760.00 mm Hg,135.00 °F. TCC (   57.22 °C. ),green,"high ,recommend smelling in a 0.10 % solution or less",at 1.00 % in dipropylene glycol.,green wasabi privet tomato leaf earthy vegetable metallic,"Luebke, William  tgsc, (2009)","alcohol; water, 255.2 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1008681.html,2-sec-butyl-3-methoxypyrazine,2-methoxy-3-(1-methylpropyl)pyrazine,2-butan-2-yl-3-methoxypyrazine,24168-70-5,166.22378000,C9 H14 N2 O,colorless clear liquid (est),99.00 to 100.00,0.99800 to 1.00800 @  25.00 °C.,1.48600 to 1.49600 @  20.00 °C.,Tidak ditemukan,"50.00 °C. @    1.00 mm Hg, 218.00 to  219.00 °C. @  760.00 mm Hg",171.00 °F. TCC (   77.22 °C. ),green,Tidak ditemukan,at 0.10 % in dipropylene glycol.,musty green pea galbanum bell pepper,,"alcohol; water, 229.6 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1031911.html,2-methoxy-3-methyl pyrazine,2-methyl-3-methoxypyrazine,2-methoxy-3-methylpyrazine,2847-30-5,124.14296000,C6 H8 N2 O,yellow clear liquid (est),97.00 to 100.00,1.08100 to 1.08500 @  25.00 °C.,1.50400 to 1.50800 @  20.00 °C.,Tidak ditemukan,158.00 to  159.00 °C. @  760.00 mm Hg,132.00 °F. TCC (   55.56 °C. ),chocolate,Tidak ditemukan,at 0.10 % in dipropylene glycol.,roasted almond hazelnut peanut,,"alcohol; water, 8457 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1008661.html,green pea pyrazine,"2-methoxy-(3,5 or 6)-isopropylpyrazine",2-methoxy-3-propan-2-ylpyrazine;2-methoxy-5-propan-2-ylpyrazine;2-methoxy-6-propan-2-ylpyrazine,93905-03-4,456.59052000,C24 H36 N6 O3,colorless clear liquid (est),97.00 to 100.00,0.99600 @  25.00 °C.,Tidak ditemukan,Tidak ditemukan,205.00 to  207.00 °C. @  760.00 mm Hg,152.00 °F. TCC (   66.67 °C. ),earthy,Tidak ditemukan,at 0.10 % in dipropylene glycol.,earthy bell pepper raw potato galbanum,,"alcohol; water, 698.6 mg/L @ 25 °C (est)",Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1005101.html,2-methoxy-4-vinyl phenol,2-methoxy-4-vinylphenol,4-ethenyl-2-methoxyphenol,7786-61-0,150.17710000,C9 H10 O2,colorless to yellow clear liquid (est),98.00 to 100.00,1.10500 to 1.11500 @  20.00 °C.,1.57000 to 1.58400 @  20.00 °C.,25.00 to   29.00 °C. @  760.00 mm Hg,"224.00 °C. @  760.00 mm Hg, 100.00 °C. @    5.00 mm Hg",> 230.00 °F. TCC ( > 110.00 °C. ),spicy,"high ,recommend smelling in a 0.10 % solution or less",at 0.10 % in dipropylene glycol.,sweet spicy clove carnation phenolic peppery smoky woody powdery,"Luebke, William  tgsc, (2021)","alcohol; water, 926 mg/L @ 25 °C (est)",Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1035411.html,fish thiol,2-methyl-3-furanthiol,2-methylfuran-3-thiol,28588-74-1,114.16702000,C5 H6 O S,orange or orange pink clear liquid (est),95.00 to 100.00,1.14100 to 1.15000 @  25.00 °C.,1.50900 to 1.53000 @  20.00 °C.,Tidak ditemukan,57.00 to   60.00 °C. @   44.00 mm Hg,98.00 °F. TCC (   36.67 °C. ),sulfurous,Tidak ditemukan,at 0.10 % in propylene glycol.,sulfury meaty fish metallic,,"alcohol; water, 630.8 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1038371.html,2-methyl-3-tetrahydrofuran thiol,2-methyl-3-tetrahydrofuranthiol,"(2S,3S)-2-methyloxolane-3-thiol",57124-87-5 (SS),118.19890000,C5 H10 O S,colorless to pale yellow clear liquid (est),97.00 to 100.00 sum of isomers,1.04200 to 1.04900 @  25.00 °C.,1.47500 to 1.49100 @  20.00 °C.,Tidak ditemukan,163.00 to  168.00 °C. @  760.00 mm Hg,124.00 °F. TCC (   51.11 °C. ),meaty,Tidak ditemukan,at 0.10 % in propylene glycol.,roasted beef chicken meat sulfurous,,"alcohol; water, 9169 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1033021.html,2-methyl valeric acid,2-methylvaleric acid,(2S)-2-methylpentanoic acid,97-61-0 (S),116.16004000,C6 H12 O2,colorless to pale yellow clear liquid (est),98.00 to 100.00,0.91900 to 0.92200 @  25.00 °C.,1.41100 to 1.41600 @  20.00 °C.,Tidak ditemukan,196.00 to  197.00 °C. @  760.00 mm Hg,196.00 °F. TCC (   91.11 °C. ),cheesy,"medium ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,sour cheese,,"alcohol; water, 15000 mg/L @ 20 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1009001.html,2-methyl pyrazine,2-methylpyrazine,2-methylpyrazine,109-08-0,94.11682000,C5 H6 N2,colorless to pale yellow clear liquid (est),98.00 to 100.00,1.00700 to 1.03300 @  25.00 °C.,1.50100 to 1.50900 @  20.00 °C.,-29.00 °C. @  760.00 mm Hg,"135.00 °C. @  761.00 mm Hg, 136.00 to  137.00 °C. @  760.00 mm Hg",122.00 °F. TCC (   50.00 °C. ),nutty,Tidak ditemukan,at 1.00 % in dipropylene glycol.,nutty cocoa roasted chocolate peanut green,,"alcohol; fixed oils; water, 1000000 mg/L @ 20 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1036001.html,coffee furanone,2-methyltetrahydrofuran-3-one,(2S)-2-methyloxolan-3-one,3188-00-9 (S),100.11716000,C5 H8 O2,colorless to pale greenish yellow clear liquid (est),97.00 to 100.00,1.18000 to 1.18500 @  25.00 °C.,1.53400 to 1.53700 @  20.00 °C.,Tidak ditemukan,138.00 to  139.00 °C. @  760.00 mm Hg,103.00 °F. TCC (   39.44 °C. ),bready,Tidak ditemukan,at 10.00 % in dipropylene glycol.,sweet solvent bread buttery nutty,"Luebke, William  tgsc, (1992)","alcohol; dipropylene glycol; water, slightly; water, 1.716e+005 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1057671.html,2-thiophene thiol,2-thienylmercaptan,thiophene-2-thiol,7774-74-5,116.20588000,C4 H4 S2,yellow to orange clear liquid (est),98.00 to 100.00,1.25000 to 1.23500 @  25.00 °C.,1.61800 to 1.63200 @  20.00 °C.,Tidak ditemukan,166.00 °C. @  760.00 mm Hg,150.00 °F. TCC (   65.56 °C. ),caramellic,Tidak ditemukan,at 0.10 % in dipropylene glycol.,burnt caramel roasted coffee,,"dipropylene glycol; water, 750.6 mg/L @ 25 °C (est)",alcohol
