URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength,Threshold,Description,Source,Soluble In,Insoluble In
http://www.thegoodscentscompany.com/data/rw1004521.html,sodium alginate,algin (laminaria spp. and other kelps),"sodium 3,4,5,6-tetrahydroxyoxane-2-carboxylate",57606-04-9,216.12189928,C6 H9 Na O7,white to yellowish brown powder (est),60.00 to 100.00,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,494.00 to  496.00 °C. @  760.00 mm Hg (est),411.00 °F. TCC (  210.56 °C. ),Tidak ditemukan,none,at 100.00 %.,odorless,,water,alcohol
http://www.thegoodscentscompany.com/data/ex1050461.html,strawberry essence,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,colorless to pale yellow clear liquid (est),Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,fruity,Tidak ditemukan,at 100.00 %.,strawberry,,Tidak ditemukan,Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1040431.html,succinic acid,butanedioic acid,butanedioic acid,110-15-6,118.08862000,C4 H6 O4,colorless crystalline powder (est),99.00 to 100.00,Tidak ditemukan,Tidak ditemukan,185.00 to  190.00 °C. @  760.00 mm Hg,235.00 to  236.00 °C. @  760.00 mm Hg,231.00 °F. TCC (  110.56 °C. ),odorless,none,at 100.00 %.,odorless,,"alcohol; water, 8.079e+005 mg/L @ 25 °C (est); glycerin; water, 8.32E+04 mg/L @ 25 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1611711.html,sucralose,"a-D-galactopyranoside, 1,6-dichloro-1,6-dideoxy-b-D-fructofuranosyl 4-chloro-4-deoxy-","(2R,3R,4R,5R,6R)-2-[(2R,3S,4S,5S)-2,5-bis(chloromethyl)-3,4-dihydroxyoxolan-2-yl]oxy-5-chloro-6-(hydroxymethyl)oxane-3,4-diol",56038-13-2,397.63303000,C12 H19 Cl3 O8,white crystalline powder (est),98.00 to 100.00,Tidak ditemukan,Tidak ditemukan,130.00 °C. @  760.00 mm Hg,669.43 °C. @  760.00 mm Hg (est),678.00 °F. TCC (  358.70 °C. ) (est),Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,"water, 2.275e+004 mg/L @ 25 °C (est); alcohol",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1034791.html,tannic acid,"D-glucopyranose,4-dihydroxy-5-[(3,4,5-trihydroxybenzoyl)oxy]benzoate]","[2,3-dihydroxy-5-[[(2R,3R,4S,5R,6S)-3,4,5,6-tetrakis[[3,4-dihydroxy-5-(3,4,5-trihydroxybenzoyl)oxybenzoyl]oxy]oxan-2-yl]methoxycarbonyl]phenyl] 3,4,5-trihydroxybenzoate",1401-55-4,1701.21364000,C76 H52 O46,tan to brown powder (est),98.00 to 100.00,Tidak ditemukan,Tidak ditemukan,218.00 °C. @  760.00 mm Hg,Tidak ditemukan,32.00 °F. TCC (    0.00 °C. ) (est),Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,"water, 512.4 mg/L @ 25 °C (est); acetone; alcohol",ether
http://www.thegoodscentscompany.com/data/rw1037751.html,thaumatin,proteins thaumatins,Tidak ditemukan,53850-34-3,Tidak ditemukan,unspecified,cream crystalline powder (est),95.00 to 100.00,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,odorless,none,at 100.00 %.,odorless,,water,acetone
http://www.thegoodscentscompany.com/data/rw1036961.html,theobromine,"3,7-dimethylpurine-2,6-dione","3,7-dimethylpurine-2,6-dione",83-67-0,180.16716000,C7 H8 N4 O2,white powder (est),98.00 to 100.00,Tidak ditemukan,Tidak ditemukan,345.00 to  350.00 °C. @  760.00 mm Hg,Tidak ditemukan,32.00 °F. TCC (    0.00 °C. ) (est),Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,"alcohol; water, 1.248e+004 mg/L @ 25 °C (est); water, 330 mg/L @ 25 °C (exp)",water
http://www.thegoodscentscompany.com/data/rw1019912.html,thymol,2-isopropyl-5-methylphenol,5-methyl-2-propan-2-ylphenol,89-83-8,150.22078000,C10 H14 O,white crystalline solid (est),98.00 to 100.00,Tidak ditemukan,Tidak ditemukan,49.00 to   51.00 °C. @  760.00 mm Hg,"231.00 to  232.00 °C. @  760.00 mm Hg, 143.00 to  144.00 °C. @   50.00 mm Hg",216.00 °F. TCC (  102.22 °C. ),herbal,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in dipropylene glycol.,herbal thyme phenolic medicinal camphor,"Luebke, William  tgsc, (1983)","alcohol; paraffin oil; water, 900 mg/L @ 25 °C (exp)",water
http://www.thegoodscentscompany.com/data/rw1017731.html,(E)-2-hexen-1-ol,trans-2-hexen-1-ol,(E)-hex-2-en-1-ol,928-95-0,100.16084000,C6 H12 O,colorless to pale yellow clear liquid (est),95.00 to 100.00 sum of isomers,0.83600 to 0.84100 @  25.00 °C.,1.43700 to 1.44200 @  20.00 °C.,Tidak ditemukan,"158.00 to  160.00 °C. @  760.00 mm Hg, 61.00 °C. @   12.00 mm Hg",130.00 °F. TCC (   54.44 °C. ),fruity,"high ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,fresh green leafy fruity unripe banana,"Luebke, William  tgsc, (1989)","alcohol; fixed oils; propylene glycol; water, 1.6e+004 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1027611.html,(E)-3-hexenoic acid,trans-3-hexenoic acid,Tidak ditemukan,1577-18-0,114.14410000,C6 H10 O2,colorless to pale yellow clear liquid (est),97.00 to 100.00,0.89900 to 0.97000 @  25.00 °C.,1.43000 to 1.45000 @  20.00 °C.,11.00 to   12.00 °C. @  760.00 mm Hg,"118.00 to  119.00 °C. @   22.00 mm Hg, 81.00 to   92.00 °C. @    2.00 mm Hg",230.00 °F. TCC (  110.00 °C. ),cheesy,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in dipropylene glycol.,powerful fruity honey acid,,"alcohol; propylene glycol; water, 7069 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1028121.html,"(E,E)-2,4-decadienal","trans-2,trans-4-decadienal","(2E,4E)-deca-2,4-dienal",25152-84-5,152.23672000,C10 H16 O,pale yellow to yellow clear liquid (est),94.70 to  98.50 sum of isomers,0.86600 to 0.87600 @  25.00 °C.,1.51200 to 1.51700 @  20.00 °C.,Tidak ditemukan,"279.00 to  280.00 °C. @  760.00 mm Hg, 114.00 to  116.00 °C. @   10.00 mm Hg",185.00 °F. TCC (   85.00 °C. ),fatty,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in dipropylene glycol.,oily cucumber melon citrus pumpkin nut meat,"Luebke, William  tgsc, (2007)","alcohol; fixed oils; water, slightly; water, 105.7 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1009301.html,trimethyl amine,trimethylamine,"N,N-dimethylmethanamine",75-50-3,59.11173000,C3 H9 N,yellow clear liquid (est),98.00 to 100.00,0.62800 to 0.64500 @  25.00 °C.,1.34800 to 1.36600 @  20.00 °C.,-117.00 °C. @  760.00 mm Hg,3.00 to    4.00 °C. @  760.00 mm Hg,36.00 °F. TCC (    2.22 °C. ),fishy,Tidak ditemukan,at 0.01 % in propylene glycol.,fishy oily rancid sweaty fruity,,"alcohol; benzene; chloroform; ether; water, 8.90E+05 mg/L @ 30 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1009331.html,valeraldehyde,valeric aldehyde,pentanal,110-62-3,86.13390000,C5 H10 O,colorless to pale yellow clear liquid (est),97.00 to 100.00,0.80500 to 0.80900 @  25.00 °C.,1.39000 to 1.39500 @  20.00 °C.,-92.00 °C. @  760.00 mm Hg,102.00 to  103.00 °C. @  760.00 mm Hg,55.00 °F. TCC (   12.78 °C. ),fermented,Tidak ditemukan,at 1.00 % in dipropylene glycol.,fermented bready fruity nutty berry,,"alcohol; water, 1.17E+04 mg/L @ 25 °C (exp)",water
http://www.thegoodscentscompany.com/data/rw1037781.html,para-vanillyl alcohol,p-vanillin alcohol,4-(hydroxymethyl)-2-methoxyphenol,498-00-0,154.16530000,C8 H10 O3,white to tan crystalline powder (est),98.00 to 100.00,Tidak ditemukan,Tidak ditemukan,112.00 to  115.00 °C. @  760.00 mm Hg,312.00 to  313.00 °C. @  760.00 mm Hg,289.00 °F. TCC (  142.78 °C. ),creamy,Tidak ditemukan,at 100.00 %.,sweet creamy vanilla caramellic coconut graham cracker tonka milky powdery,"Luebke, William  tgsc, (2017)","alcohol; water, 2000 mg/L @ 20 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1006231.html,zingerone,vanillyl acetone,4-(4-hydroxy-3-methoxyphenyl)butan-2-one,122-48-5,194.23018000,C11 H14 O3,yellow to yellow brown crystals (est),96.00 to 100.00,Tidak ditemukan,Tidak ditemukan,39.00 to   42.00 °C. @  760.00 mm Hg,"141.00 to    0.50 °C. @    0.00 mm Hg, 290.00 °C. @  760.00 mm Hg",255.00 °F. TCC (  123.70 °C. ) (est),spicy,medium,at 100.00 %.,sweet spicy phenolic ginger vanilla woody,"Luebke, William  tgsc, (1986)","ethyl alcohol, 1:1 in 50% alcohol; water, 3571 mg/L @ 25 °C (est)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1022621.html,2-ethyl furan,2-ethylfuran,2-ethylfuran,3208-16-0,96.12896000,C6 H8 O,colorless to pale yellow clear liquid (est),95.00 to 100.00,0.90900 to 0.91500 @  25.00 °C.,1.44400 to 1.45000 @  20.00 °C.,Tidak ditemukan,92.00 to   93.00 °C. @  765.00 mm Hg,65.00 °F. TCC (   18.33 °C. ),chemical,"high ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,chemical beany ethereal cocoa bready malty coffee nutty,"Luebke, William  tgsc, (2021)","alcohol; water, 1070 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1013391.html,furfuryl alcohol,2-furanmethanol,furan-2-ylmethanol,98-00-0,98.10122000,C5 H6 O2,yellow clear liquid (est),97.00 to 100.00,1.12800 to 1.13700 @  25.00 °C.,1.47600 to 1.48700 @  20.00 °C.,-29.00 to  -28.00 °C. @  760.00 mm Hg,"169.00 to  171.00 °C. @  760.00 mm Hg, 96.00 to   97.00 °C. @   50.00 mm Hg",149.00 °F. TCC (   65.00 °C. ),bready,medium,at 100.00 %.,alcoholic chemical musty sweet caramel bread coffee,"Luebke, William  tgsc, (1997)","alcohol; water, 2.21e+005 mg/L @ 25 °C (est)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1025351.html,geranyl butyrate,"trans-3,7-dimethyl-2,6-octadien-1-yl butyrate","[(2E)-3,7-dimethylocta-2,6-dienyl] butanoate",106-29-6,224.34368000,C14 H24 O2,colorless to pale yellow clear liquid (est),92.00 to 100.00,0.89100 to 0.89900 @  20.00 °C.,1.45500 to 1.46000 @  20.00 °C.,Tidak ditemukan,"151.00 to  153.00 °C. @   18.00 mm Hg, 242.00 to  243.00 °C. @  760.00 mm Hg",> 212.00 °F. TCC ( > 100.00 °C. ),fruity,medium,at 100.00 %.,sweet fruity rose waxy raspberry tropical,"Luebke, William  tgsc, (1993)","alcohol; fixed oils; paraffin oil; water, slightly; water, 0.7127 mg/L @ 25 °C (est)",water; glycerin; propylene glycol
http://www.thegoodscentscompany.com/data/rw1025041.html,geranyl isovalerate,"trans-3,7-dimethyl-2,6-octadien-1-yl isovalerate","[(3E)-3,7-dimethylocta-3,6-dienyl] 3-methylbutanoate",109-20-6,238.37062000,C15 H26 O2,colorless to pale yellow clear oily liquid (est),95.00 to 100.00,0.88600 to 0.89200 @  25.00 °C.,1.45600 to 1.46200 @  20.00 °C.,Tidak ditemukan,"145.00 °C. @   15.00 mm Hg, 276.00 to  278.00 °C. @  760.00 mm Hg",> 212.00 °F. TCC ( > 100.00 °C. ),fruity,medium,at 100.00 %.,green fruity apple blueberry pineapple,,"alcohol; water, 0.2633 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1008461.html,glycerine,glyceol,"propane-1,2,3-triol",56-81-5,92.09436000,C3 H8 O3,colorless clear oily liquid (est),95.00 to 100.00,1.25700 to 1.27000 @  25.00 °C.,1.46700 to 1.48100 @  20.00 °C.,17.00 to   20.00 °C. @  760.00 mm Hg,"181.00 to  182.00 °C. @   20.00 mm Hg, 290.00 to  291.00 °C. @  760.00 mm Hg",320.00 °F. TCC (  160.00 °C. ),odorless,none,at 100.00 %.,odorless,,"alcohol; water, 1e+006 mg/L @ 25 °C (est); water, 1.00E+06 mg/L @ 25 °C (exp)",paraffin oil
