URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength,Threshold,Description,Source,Soluble In,Insoluble In
https://www.thegoodscentscompany.com/data/es1003041.html,cornmint oil,"oil derived from the leaves of the horse mint, mentha arvensis l., labiatae",mentha arvensis l. leaf oil,68917-18-0,Tidak ditemukan,Tidak ditemukan,colorless to pale yellow clear liquid (est),Tidak ditemukan,0.89500 to 0.89900 @  25.00 °C.,1.44900 to 1.46200 @  20.00 °C.,Tidak ditemukan,Tidak ditemukan,169.00 °F. TCC (   76.11 °C. ),mentholic,"high ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,minty peppermint mentholic herbal,"Luebke, William  tgsc, (1990)","fixed oils; paraffin oil; propylene glycol; water, 180.5 mg/L @ 25 °C (est)",glycerin
https://www.thegoodscentscompany.com/data/rw1021911.html,beta-damascenone,fermentone (Advanced Biotech),"(E)-1-(2,6,6-trimethyl-1-cyclohexa-1,3-dienyl)but-2-en-1-one",23696-85-7,190.28566000,C13 H18 O,yellow clear liquid (est),98.00 to 100.00,0.94600 to 0.95200 @  25.00 °C.,1.51000 to 1.51400 @  20.00 °C.,Tidak ditemukan,274.00 to  275.00 °C. @  760.00 mm Hg,> 212.00 °F. TCC ( > 100.00 °C. ),floral,"high ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,natural sweet fruity rose plum grape raspberry sugar,"Luebke, William  tgsc, (1987)","alcohol; water, 12.48 mg/L @ 25 °C (est)",Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1000172.html,decanal (aldehyde C-10),capraldehyde,decanal,112-31-2,156.26860000,C10 H20 O,colorless to pale yellow clear liquid (est),95.00 to 100.00,0.82300 to 0.83100 @  20.00 °C.,1.42700 to 1.43400 @  20.00 °C.,17.00 to   18.00 °C. @  760.00 mm Hg,"207.00 to  209.00 °C. @  760.00 mm Hg, 124.00 to  125.00 °C. @   50.00 mm Hg",181.00 °F. TCC (   83.00 °C. ),aldehydic,"high ,recommend smelling in a 1.00 % solution or less",at 10.00 % in dipropylene glycol.,sweet aldehydic waxy orange peel citrus floral,"Luebke, William  tgsc, (1981)","alcohol; dipropylene glycol; fixed oils; propylene glycol; water, 43.52 mg/L @ 25 °C (est)",glycerin
https://www.thegoodscentscompany.com/data/rw1007741.html,decanoic acid,capric acid,decanoic acid,334-48-5,172.26780000,C10 H20 O2,white crystalline solid (est),98.00 to 100.00,0.89300 @  25.00 °C.,Tidak ditemukan,27.00 to   32.00 °C. @  760.00 mm Hg,"268.00 to  270.00 °C. @  760.00 mm Hg, 151.00 to  152.00 °C. @   10.00 mm Hg",> 230.00 °F. TCC ( > 110.00 °C. ),fatty,"medium ,recommend smelling in a 1.00 % solution or less",at 1.00 % in propylene glycol.,unpleasant rancid sour fatty citrus,,"alcohol; water, 47.89 mg/L @ 25 °C (est); water, 61.8 mg/L @ 25 °C (exp)",water
https://www.thegoodscentscompany.com/data/rw1013411.html,delta-decalactone,"decano-1,5-lactone",6-pentyloxan-2-one,705-86-2,170.25186000,C10 H18 O2,colorless clear liquid (est),98.00 to 100.00 sum of isomers,0.95800 to 0.97600 @  25.00 °C.,1.45600 to 1.45900 @  20.00 °C.,-27.00 °C. @  760.00 mm Hg,"117.00 to  120.00 °C. @    0.02 mm Hg, 281.00 °C. @  760.00 mm Hg",> 230.00 °F. TCC ( > 110.00 °C. ),coconut,medium,at 100.00 %.,fresh sweet oily coconut fruity peach creamy dairy,"Luebke, William  tgsc, (1997)","alcohol; fixed oils; propylene glycol; water, very slightly; water, 393.8 mg/L @ 25 °C (est)",Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1013351.html,delta-dodecalactone,"dodecano-1,5-lactone",6-heptyloxan-2-one,713-95-1,198.30574000,C12 H22 O2,colorless to pale yellow clear liquid (est),99.00 to 100.00 sum of isomers,0.94000 to 0.94400 @  25.00 °C.,1.45500 to 1.46200 @  20.00 °C.,-12.00 °C. @  760.00 mm Hg,140.00 to  141.00 °C. @    1.00 mm Hg,> 230.00 °F. TCC ( > 110.00 °C. ),tropical,medium,at 100.00 %.,fresh sweet metallic peach oily coconut buttery,"Luebke, William  tgsc, (1996)","alcohol; fixed oils; propylene glycol; water, 41.54 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1035911.html,delta-nonalactone,"nonano-1,5-lactone",6-butyloxan-2-one,3301-94-8,156.22492000,C9 H16 O2,colorless to pale yellow clear oily liquid (est),98.00 to 100.00,0.99400 to 0.99900 @  25.00 °C.,1.45200 to 1.45800 @  20.00 °C.,Tidak ditemukan,"115.00 to  116.00 °C. @    2.00 mm Hg, 250.00 °C. @  760.00 mm Hg",> 212.00 °F. TCC ( > 100.00 °C. ),coconut,medium,at 100.00 %.,coconut creamy sweet milky coumarin,,"alcohol; dipropylene glycol; water, very slightly; water, 1201 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1013771.html,dextro-limonene,D-limonene,(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene,58555-74-1,136.23752000,C10 H16,colorless to pale yellow clear liquid (est),96.00 to 100.00,0.83700 to 0.84500 @  25.00 °C.,1.47100 to 1.47700 @  20.00 °C.,-96.00 °C. @  760.00 mm Hg,175.00 to  177.00 °C. @  760.00 mm Hg,117.00 °F. TCC (   47.22 °C. ),citrus,medium,at 100.00 %.,citrus orange fresh sweet,"Luebke, William  tgsc, (1988)","alcohol; fixed oils; kerosene; paraffin oil; water, 13.8 mg/L @ 25 °C (exp)",water; propylene glycol
https://www.thegoodscentscompany.com/data/rw1014611.html,diacetyl,"2,3-butanedione","butane-2,3-dione",431-03-8,86.09022000,C4 H6 O2,yellow to yellow green clear liquid (est),98.00 to 100.00,0.97900 to 0.98500 @  25.00 °C.,1.39300 to 1.39700 @  20.00 °C.,-2.40 °C. @  760.00 mm Hg,87.00 to   88.00 °C. @  760.00 mm Hg,45.00 °F. TCC (    7.22 °C. ),buttery,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in propylene glycol.,strong butter sweet creamy pungent caramel,,"alcohol; fixed oils; glycerin; propylene glycol; water, 200000 mg/L @ 15 °C (exp)",paraffin oil
https://www.thegoodscentscompany.com/data/rw1004331.html,diethyl malonate,"propanedioic acid, diethyl ester",diethyl propanedioate,105-53-3,160.16944000,C7 H12 O4,colorless clear liquid (est),99.00 to 100.00,1.05300 to 1.05600 @  25.00 °C.,1.41300 to 1.41600 @  20.00 °C.,-51.00 to  -50.00 °C. @  760.00 mm Hg,"199.00 to  200.00 °C. @  760.00 mm Hg, 82.00 to   83.00 °C. @   11.00 mm Hg",212.00 °F. TCC (  100.00 °C. ),fruity,medium,at 100.00 %.,sweet fruity green apple,"Luebke, William  tgsc, (1994)","alcohol; fixed oils; propylene glycol; water, 23200 mg/L @ 37 °C (exp)",paraffin oil; glycerin; water; mineral oil
