URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength,Threshold,Description,Source,Soluble In,Insoluble In
http://www.thegoodscentscompany.com/data/rw1021291.html,coffee difuran,"2,2'-(dithiodimethylene)difuran",2-(furan-2-ylmethyldisulfanylmethyl)furan,4437-20-1,226.31810000,C10 H10 O2 S2,pale yellow to amber clear oily liquid (est),96.00 to 100.00,1.22900 to 1.24800 @  25.00 °C.,1.58500 to 1.59800 @  20.00 °C.,10.00 to   11.00 °C. @  760.00 mm Hg,"229.00 to  230.00 °C. @  760.00 mm Hg, 112.00 to  115.00 °C. @    0.50 mm Hg",212.00 °F. TCC (  100.00 °C. ),coffee,Tidak ditemukan,at 0.01 % in propylene glycol.,sulfury coffee roasted chicken meaty onion cabbage,,"alcohol; water, 11.56 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1035661.html,difurfuryl sulfide,"2,2'-(thiodimethylene)difuran",2-(furan-2-ylmethylsulfanylmethyl)furan,13678-67-6,194.25310000,C10 H10 O2 S,yellow brown to brown solid (est),95.00 to 100.00,1.14400 to 1.15400 @  25.00 °C.,1.54500 to 1.56000 @  20.00 °C.,29.00 to   32.00 °C. @  760.00 mm Hg,"130.00 to  131.00 °C. @    9.00 mm Hg, 135.00 to  143.00 °C. @   14.00 mm Hg",> 230.00 °F. TCC ( > 110.00 °C. ),earthy,Tidak ditemukan,at 0.10 % in propylene glycol.,powerful earthy mushroom coffee meaty sulfury,,"alcohol; water, 110.9 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1017911.html,shoyu pyrazine,"2,3-diethylpyrazine","2,3-diethylpyrazine",15707-24-1,136.19764000,C8 H12 N2,pale yellow to yellow clear liquid (est),97.00 to 100.00,0.95400 to 0.96400 @  25.00 °C.,1.49500 to 1.50100 @  20.00 °C.,Tidak ditemukan,180.00 to  182.00 °C. @  760.00 mm Hg,159.00 °F. TCC (   70.56 °C. ),nutty,Tidak ditemukan,at 0.10 % in dipropylene glycol.,raw nutty green pepper,,"alcohol; water, 4458 mg/L @ 25 °C (est)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1008831.html,"2,4,5-trimethyl thiazole","2,4,5-trimethylthiazole","2,4,5-trimethyl-1,3-thiazole",13623-11-5,127.20973000,C6 H9 N S,colorless to amber clear liquid (est),97.00 to 100.00,1.01100 to 1.01500 @  25.00 °C.,1.50300 to 1.51100 @  20.00 °C.,Tidak ditemukan,"166.00 to  167.00 °C. @  717.50 mm Hg, 65.00 to   67.00 °C. @   20.00 mm Hg",124.00 °F. TCC (   51.11 °C. ),chocolate,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in dipropylene glycol.,musty nutty vegetable cocoa hazelnut chocolate coffee,"Luebke, William  tgsc, (1995)","alcohol; dipropylene glycol; water, slightly; water, 530 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1017771.html,"2,6-dimethoxyphenol","1,3-dimethoxy-2-hydroxybenzene","2,6-dimethoxyphenol",91-10-1,154.16530000,C8 H10 O3,white to tan powder (est),98.00 to 100.00,Tidak ditemukan,Tidak ditemukan,54.00 to   57.00 °C. @  760.00 mm Hg,260.00 to  261.00 °C. @  760.00 mm Hg,284.00 °F. TCC (  140.00 °C. ),smoky,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in dipropylene glycol.,smoky phenolic balsamic bacon powdery woody,"Luebke, William  tgsc, (1995)","alcohol; water, 17200 mg/L @ 13C (exp)",water
http://www.thegoodscentscompany.com/data/rw1005491.html,"2,6-lutidine","2,6-dimethylpyridine","2,6-dimethylpyridine",108-48-5,107.15573000,C7 H9 N,colorless to pale yellow clear liquid (est),99.00 to 100.00,0.91700 to 0.92300 @  25.00 °C.,1.49500 to 1.50100 @  20.00 °C.,-6.00 °C. @  760.00 mm Hg,143.00 to  145.00 °C. @  760.00 mm Hg,92.00 °F. TCC (   33.33 °C. ),nutty,Tidak ditemukan,at 1.00 % in dipropylene glycol.,nutty amine woody bready cocoa oily,,"alcohol; water, 300000 mg/L @ 34C (exp)",water
http://www.thegoodscentscompany.com/data/rw1035711.html,"2,6-xylenol","2,6-dimethylphenol","2,6-dimethylphenol",576-26-1,122.16690000,C8 H10 O,white to yellowish orange solid (est),99.00 to 100.00,Tidak ditemukan,Tidak ditemukan,45.00 to   47.00 °C. @  760.00 mm Hg,201.00 to  203.00 °C. @  760.00 mm Hg,173.00 °F. TCC (   78.33 °C. ),medicinal,Tidak ditemukan,at 0.10 % in propylene glycol.,sweet medicinal phenolic rooty coffee,,"alcohol; water, 3615 mg/L @ 25 °C (est); water, 6050 mg/L @ 25 °C (exp)",water
http://www.thegoodscentscompany.com/data/rw1382041.html,(+)-3-carene,"(1S)-3,7,7-trimethyl bicyclo(4.1.0)hept-3-ene","(1S)-3,7,7-trimethylbicyclo[4.1.0]hept-3-ene",498-15-7,136.23752000,C10 H16,colorless clear liquid (est),98.00 to 100.00,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,170.00 to  172.00 °C. @  760.00 mm Hg,131.00 °F. TCC (   55.00 °C. ),Tidak ditemukan,Tidak ditemukan,,sweet,,"alcohol; water, 4.581 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1023141.html,3-ethyl pyridine,3-ethylpyridine,3-ethylpyridine,536-78-7,107.15573000,C7 H9 N,brownish clear liquid (est),98.00 to 100.00,0.95100 to 0.95700 @  25.00 °C.,1.49900 to 1.50500 @  20.00 °C.,-76.90 °C. @  760.00 mm Hg,166.00 °C. @  762.00 mm Hg,121.00 °F. TCC (   49.44 °C. ),tobacco,Tidak ditemukan,at 0.10 % in dipropylene glycol.,tobacco oakmoss leather,,"alcohol; water, 8.478e+004 mg/L @ 25 °C (est); water, 3.70E+05 mg/L @ 196C (exp)",water
http://www.thegoodscentscompany.com/data/rw1584181.html,3-mercapto-2-methyl-1-butanol,erythro- and threo-3-mercapto-2-methylbutan-1-ol,2-methyl-3-sulfanylbutan-1-ol,227456-33-9,120.21484000,C5 H12 O S,colorless to yellow clear liquid (est),98.00 to 100.00 sum of isomers,1.00200 to 1.00800 @  25.00 °C.,1.48200 to 1.49000 @  20.00 °C.,Tidak ditemukan,96.00 to   98.00 °C. @   20.00 mm Hg,127.00 °F. TCC (   52.78 °C. ),sulfurous,Tidak ditemukan,at 0.10 % in propylene glycol.,sulfurous,,"alcohol; water, slightly; water, 1.088e+004 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1004231.html,3-octanone,ethyl amyl ketone,octan-3-one,106-68-3,128.21472000,C8 H16 O,colorless clear liquid (est),98.00 to 100.00,0.81900 to 0.82400 @  25.00 °C.,1.41500 to 1.41700 @  20.00 °C.,-23.00 °C. @  760.00 mm Hg,167.00 to  170.00 °C. @  760.00 mm Hg,115.00 °F. TCC (   46.11 °C. ),herbal,"medium ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,fresh herbal lavender sweet mushroom,"Luebke, William  tgsc, (1988)","alcohol; water, 2600 mg/L @ 20 °C (exp)",water
