URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength,Threshold,Description,Source,Soluble In,Insoluble In
http://www.thegoodscentscompany.com/data/rw1037771.html,laevo-tyrosine,L-tyrosine,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,60-18-4,181.19127000,C9 H11 N O3,white crystalline needles (est),99.00 to 100.00,Tidak ditemukan,Tidak ditemukan,342.00 to  344.00 °C. @  760.00 mm Hg,351.17 °C. @  760.00 mm Hg (est),> 230.00 °F. TCC ( > 110.00 °C. ),Tidak ditemukan,none,at 100.00 %.,odorless,,"alcohol; water, 9.71e+004 mg/L @ 25 °C (est); water, 479 mg/L @ 25 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1016791.html,levulinic acid,4-oxovaleric acid,4-oxopentanoic acid,123-76-2,116.11636000,C5 H8 O3,yellow to brown clear liquid (est),97.00 to 100.00,1.13800 to 1.14800 @  25.00 °C.,1.43500 to 1.44500 @  20.00 °C.,30.00 to   33.00 °C. @  760.00 mm Hg,245.00 to  246.00 °C. @  760.00 mm Hg,280.00 °F. TCC (  137.78 °C. ),caramellic,medium,at 100.00 %.,sweet caramel acidic acetoin buttery,"Luebke, William  tgsc, (1982)","alcohol; oils; water, 6.746e+005 mg/L @ 25 °C (est)",paraffin oil
http://www.thegoodscentscompany.com/data/rw1007701.html,meta-cresol,m-cresol,3-methylphenol,108-39-4,108.13996000,C7 H8 O,white to amber liquid to crystals (est),98.00 to 100.00,1.03400 to 1.03700 @  20.00 °C.,1.53800 to 1.54200 @  20.00 °C.,11.00 to   12.00 °C. @  760.00 mm Hg,"202.00 to  203.00 °C. @  760.00 mm Hg, 120.00 to  121.00 °C. @   50.00 mm Hg",187.00 °F. TCC (   86.11 °C. ),phenolic,"high ,recommend smelling in a 0.01 % solution or less",at 0.01 % in dipropylene glycol.,medicinal woody leather phenolic,"Luebke, William  tgsc, (1995)","alcohol; water, 8890 mg/L @ 25 °C (est); water, 2.27E+04 mg/L @ 25 °C (exp)",water
http://www.thegoodscentscompany.com/data/rs1604311.html,malt,barley malt,hordeum vulgare l. seed (partially germinated and dried ),Tidak ditemukan,Tidak ditemukan,unspecified,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1032731.html,methyl paraben,methyl 4-hydroxybenzoate,methyl 4-hydroxybenzoate,99-76-3,152.14936000,C8 H8 O3,white crystalline powder (est),99.00 to 100.00,Tidak ditemukan,Tidak ditemukan,125.00 to  128.00 °C. @  760.00 mm Hg,275.00 °C. @  760.00 mm Hg,241.00 °F. TCC (  116.11 °C. ),Tidak ditemukan,Tidak ditemukan,,odorless,,"alcohol; water, 5981 mg/L @ 25 °C (est); ether; propylene glycol; water, 2500 mg/L @ 25 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1035771.html,methyl propyl trisulfide,"2,3,4-trithiaheptane",1-methylsulfanyldisulfanylpropane,17619-36-2,154.31870000,C4 H10 S3,pale yellow to yellow clear liquid (est),45.00 to 100.00,1.09500 to 1.10100 @  25.00 °C.,1.55800 to 1.57000 @  20.00 °C.,Tidak ditemukan,52.00 °C. @    1.20 mm Hg,189.00 °F. TCC (   87.22 °C. ),sulfurous,Tidak ditemukan,at 0.10 % in propylene glycol.,sulfurous onion garlic green metallic,,"alcohol; water, 264.5 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1040351.html,methyl stearate,methyl octadecanoate,methyl octadecanoate,112-61-8,298.51026000,C19 H38 O2,white solid (est),97.00 to 100.00,0.84700 to 0.85300 @  25.00 °C.,1.43800 to 1.44400 @  20.00 °C.,37.00 to   41.00 °C. @  760.00 mm Hg,"181.00 to  182.00 °C. @    4.00 mm Hg, 368.00 to  371.00 °C. @  760.00 mm Hg",> 230.00 °F. TCC ( > 110.00 °C. ),waxy,low,at 100.00 %.,oily waxy,,"alcohol; water, 0.0009266 mg/L @ 25 °C (est)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1003941.html,neohesperidin dihydrochalcone,neohesperidin DC,"1-[4-[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-2,6-dihydroxyphenyl]-3-(3-hydroxy-4-methoxyphenyl)propan-1-one",20702-77-6,612.58292000,C28 H36 O15,white to pale yellow powder (est),96.00 to 100.00 sum of isomers,Tidak ditemukan,Tidak ditemukan,156.00 to  158.00 °C. @  760.00 mm Hg,927.13 °C. @  760.00 mm Hg (est),> 200.00 °F. TCC ( >  93.33 °C. ),odorless,none,at 100.00 %.,bland odor,"Luebke, William  tgsc, (1999)","water, 342.1 mg/L @ 25 °C (est)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1033552.html,neryl acetate,acetic acid neryl ester,"[(2Z)-3,7-dimethylocta-2,6-dienyl] acetate",141-12-8,196.28980000,C12 H20 O2,colorless to pale yellow clear liquid (est),96.00 to 100.00,0.90500 to 0.91400 @  25.00 °C.,1.45800 to 1.46400 @  20.00 °C.,Tidak ditemukan,"134.00 °C. @   25.00 mm Hg, 231.00 °C. @  760.00 mm Hg",210.00 °F. TCC (   99.00 °C. ),floral,medium,at 100.00 %.,floral rose soapy citrus dewy pear,"Luebke, William  tgsc, (1982)","alcohol; dipropylene glycol; paraffin oil; water, 18.24 mg/L @ 25 °C (est)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1451741.html,ambrettolide,omega-6-hexadecenlactone,17-oxacycloheptadec-6-en-1-one,7779-50-2,252.39756000,C16 H28 O2,colorless to pale yellow clear liquid (est),98.00 to 100.00,0.95600 @  25.00 °C.,1.47900 @  20.00 °C.,Tidak ditemukan,185.00 to  190.00 °C. @   16.00 mm Hg,> 212.00 °F. TCC ( > 100.00 °C. ),soapy,Tidak ditemukan,at 10.00 % in dipropylene glycol.,sweet soapy musk amber fruity berry,,"alcohol; water, 0.5925 mg/L @ 25 °C (est)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1009911.html,phenyl acetic acid,phenylacetic acid,2-phenylacetic acid,103-82-2,136.15016000,C8 H8 O2,white crystalline powder (est),99.00 to 100.00,Tidak ditemukan,Tidak ditemukan,76.00 to   78.00 °C. @  760.00 mm Hg,"265.00 to  266.00 °C. @  760.00 mm Hg, 142.00 to  143.00 °C. @   10.00 mm Hg",212.00 °F. TCC (  100.00 °C. ),honey,"high ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,sweet honey floral honeysuckle sour waxy civet,"Luebke, William  tgsc, (1987)","fixed oils; glycerin; water, 1.348e+004 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1005891.html,heliotropin,piperonal,"1,3-benzodioxole-5-carbaldehyde",120-57-0,150.13342000,C8 H6 O3,white crystalline powder (est),98.00 to 100.00,Tidak ditemukan,Tidak ditemukan,37.00 to   39.00 °C. @  760.00 mm Hg,"263.00 to  265.00 °C. @  760.00 mm Hg, 144.00 to  145.00 °C. @   15.00 mm Hg",> 230.00 °F. TCC ( > 110.00 °C. ),floral,medium,at 100.00 %.,heliotrope flower sweet powdery coconut vanilla,"Luebke, William  tgsc, (1982)","alcohol; benzyl benzoate; dipropylene glycol; fixed oils; isopropyl myristate; propylene glycol; water, 3500 mg/L @ 25 °C (exp)",paraffin oil; glycerin
http://www.thegoodscentscompany.com/data/rw1033971.html,propyl acetate,"acetic acid, propyl ester",propyl acetate,109-60-4,102.13310000,C5 H10 O2,colorless clear liquid (est),98.00 to 100.00,0.88000 to 0.90000 @  25.00 °C.,1.37800 to 1.38800 @  20.00 °C.,-95.00 °C. @  760.00 mm Hg,"101.00 to  102.00 °C. @  760.00 mm Hg, 32.00 to   33.00 °C. @   50.00 mm Hg",55.00 °F. TCC (   12.78 °C. ),fruity,Tidak ditemukan,at 10.00 % in dipropylene glycol.,solvent celery fruity fusel raspberry pear,,"alcohol; water, 18900 mg/L @ 20 °C (exp)",water
http://www.thegoodscentscompany.com/data/rw1009231.html,propyl butyrate,"butyric acid, propyl ester",propyl butanoate,105-66-8,130.18698000,C7 H14 O2,colorless clear liquid (est),98.00 to 100.00,0.87000 to 0.87900 @  25.00 °C.,1.38100 to 1.40100 @  20.00 °C.,95.20 °C. @  760.00 mm Hg,"142.00 to  143.00 °C. @  760.00 mm Hg, 67.00 to   68.00 °C. @   50.00 mm Hg",102.00 °F. TCC (   38.89 °C. ),fruity,medium,at 100.00 %.,fruity sweet apricot pineapple rancid sweaty,,"alcohol; water, 1620 mg/L @ 17C (exp)",water
http://www.thegoodscentscompany.com/data/rw1009851.html,allyl propyl disulfide,1-(prop-2-enyldisulfanyl)propane,1-(prop-2-enyldisulfanyl)propane,2179-59-1,148.29164000,C6 H12 S2,bright yellow clear oily liquid (est),95.00 to 100.00,0.99900 to 1.00500 @  25.00 °C.,1.49700 to 1.51700 @  20.00 °C.,Tidak ditemukan,195.00 to  200.00 °C. @  760.00 mm Hg,135.00 °F. TCC (   57.22 °C. ),sulfurous,Tidak ditemukan,at 0.10 % in propylene glycol.,alliaceous garlic green onion,,"alcohol; water, 53.29 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1034121.html,propyl gallate,"gallic acid, propyl ester","propyl 3,4,5-trihydroxybenzoate",121-79-9,212.20164000,C10 H12 O5,white to pale beige crystalline powder (est),98.00 to 100.00,Tidak ditemukan,Tidak ditemukan,148.00 to  150.00 °C. @  760.00 mm Hg,448.59 °C. @  760.00 mm Hg (est),187.00 °F. TCC (   86.11 °C. ),Tidak ditemukan,none,at 100.00 %.,bland,,"alcohol; water, 4176 mg/L @ 25 °C (est); ether; propylene glycol; water, 3500 mg/L @ 25 °C (exp)",water
http://www.thegoodscentscompany.com/data/rw1009251.html,pyridine,azine,pyridine,110-86-1,79.10185000,C5 H5 N,colorless clear liquid (est),99.00 to 100.00,0.98300 to 0.98700 @  20.00 °C.,1.50800 to 1.51200 @  20.00 °C.,-42.00 to  -41.00 °C. @  760.00 mm Hg,"115.00 to  116.00 °C. @  760.00 mm Hg, 43.00 to   44.00 °C. @   50.00 mm Hg",68.00 °F. TCC (   20.00 °C. ),fishy,Tidak ditemukan,at 0.01 % in propylene glycol.,sickening sour putrid fishy amine,,"alcohol; water, 1.00E+06 mg/L @ 25 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1009391.html,pyrrolidine,tetramethylenimine,pyrrolidine,123-75-1,71.12273000,C4 H9 N,colorless clear liquid (est),95.00 to 100.00,0.84700 to 0.85300 @  25.00 °C.,1.44000 to 1.44600 @  20.00 °C.,-57.80 °C. @  760.00 mm Hg,87.00 to   88.00 °C. @  760.00 mm Hg,37.00 °F. TCC (    2.78 °C. ),ammoniacal,Tidak ditemukan,at 0.10 % in propylene glycol.,ammoniacal animal egg amine,,"alcohol; water, 1.00E+06 mg/L @ 20 °C (exp)",Tidak ditemukan
