URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength,Threshold,Description,Source,Soluble In,Insoluble In
http://www.thegoodscentscompany.com/data/rw1003851.html,para-cresol,4-hydroxytoluene,4-methylphenol,106-44-5,108.13996000,C7 H8 O,white crystals (est),98.00 to 100.00,Tidak ditemukan,Tidak ditemukan,32.00 to   35.00 °C. @  760.00 mm Hg,"201.80 to  202.00 °C. @  760.00 mm Hg, 121.00 to  122.00 °C. @   50.00 mm Hg",193.00 °F. TCC (   89.44 °C. ),phenolic,"high ,recommend smelling in a 0.10 % solution or less",at 0.10 % in dipropylene glycol.,phenolic narcissus animal mimosa,"Luebke, William  tgsc, (1981)","alcohol; water, 2.15E+04 mg/L @ 25 °C (exp)",water
http://www.thegoodscentscompany.com/data/rw1032712.html,para-cymene,4-methyl-1-isopropylbenzene,1-methyl-4-propan-2-ylbenzene,99-87-6,134.22158000,C10 H14,colorless to pale yellow clear liquid (est),97.00 to 100.00,0.85300 to 0.85500 @  25.00 °C.,1.48900 to 1.49100 @  20.00 °C.,-68.90 °C. @  760.00 mm Hg,"176.00 to  178.00 °C. @  760.00 mm Hg, 91.00 to   92.00 °C. @   50.00 mm Hg",117.00 °F. TCC (   47.22 °C. ),terpenic,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in dipropylene glycol.,fresh citrus terpene woody spice,"Luebke, William  tgsc, (1984)","alcohol; water, 27.88 mg/L @ 25 °C (est); water,  23.4 mg/L @ 25 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/es1618961.html,peppermint oil,mentha x piperita herb oil,mentha piperita l. herb oil,8006-90-4,Tidak ditemukan,Tidak ditemukan,colorless to pale yellow clear liquid (est),Tidak ditemukan,0.89900 to 0.91100 @  20.00 °C.,1.45900 to 1.46500 @  20.00 °C.,Tidak ditemukan,209.00 °C. @  760.00 mm Hg,160.00 °F. TCC (   71.11 °C. ),minty,"medium ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,peppermint,,"alcohol; water, 434.5 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/es1009811.html,peru balsam oil,"volatile oil obtained from peru balsam tree, myroxylon pereirae, leguminosae",myroxylon pereirae klotzsch oil,8007-00-9,Tidak ditemukan,Tidak ditemukan,yellow amber brown clear oily liquid (est),Tidak ditemukan,1.09500 to 1.11000 @  25.00 °C.,1.56700 to 1.57900 @  20.00 °C.,Tidak ditemukan,314.00 °C. @  760.00 mm Hg,> 200.00 °F. TCC ( >  93.33 °C. ),balsamic,medium,at 100.00 %.,sweet balsamic cinnamyl vanilla amber spicy powdery resinous,"Luebke, William  tgsc, (1982)","alcohol; water, 0.0007301 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1010052.html,phenethyl alcohol,2-phenylethanol,2-phenylethanol,60-12-8,122.16690000,C8 H10 O,colorless clear oily liquid (est),98.00 to 100.00,1.01600 to 1.02400 @  20.00 °C.,1.53000 to 1.53400 @  20.00 °C.,-27.00 to  -25.80 °C. @  760.00 mm Hg,"219.00 to  221.00 °C. @  760.00 mm Hg, 136.00 to  137.00 °C. @   50.00 mm Hg",216.00 °F. TCC (  102.00 °C. ),floral,medium,at 100.00 %.,floral rose dried rose flower rose water,"Luebke, William  tgsc, (1981)","alcohol; dipropylene glycol; fixed oils; kerosene; mineral oil, slightly; propylene glycol; water, 2.199e+004 mg/L @ 25 °C (est); water, 2.22E+04 mg/L @ 25 °C (exp)",paraffin oil
http://www.thegoodscentscompany.com/data/rw1009931.html,phenyl acetaldehyde,phenylacetaldehyde,2-phenylacetaldehyde,122-78-1,120.15096000,C8 H8 O,colorless to pale yellow clear oily liquid (est),95.00 to 100.00,1.02500 to 1.03500 @  25.00 °C.,1.52500 to 1.53200 @  20.00 °C.,-10.00 °C. @  760.00 mm Hg,193.00 to  195.00 °C. @  760.00 mm Hg,189.00 °F. TCC (   87.00 °C. ),green,"high ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,green sweet floral hyacinth clover honey cocoa,"Luebke, William  tgsc, (1987)","alcohol; dipropylene glycol; fixed oils; water, 3026 mg/L @ 25 °C (est)",glycerin
http://www.thegoodscentscompany.com/data/rw1009972.html,phenyl acetaldehyde dimethyl acetal,viridine (Givaudan),"2,2-dimethoxyethylbenzene",101-48-4,166.21998000,C10 H14 O2,colorless clear liquid (est),95.00 to 100.00,1.00000 to 1.00600 @  25.00 °C.,1.49200 to 1.49800 @  20.00 °C.,Tidak ditemukan,219.00 to  221.00 °C. @  754.00 mm Hg,192.00 °F. TCC (   89.00 °C. ),green,medium,at 100.00 %.,green foliage floral rosy earthy mushroom,"Luebke, William  tgsc, (1989)","fixed oils; paraffin oil; water, 1439 mg/L @ 25 °C (est)",glycerin
http://www.thegoodscentscompany.com/data/rw1021391.html,propyl mercaptan,propanethiol,propane-1-thiol,107-03-9,76.16176000,C3 H8 S,colorless to pale yellow clear liquid (est),98.00 to 100.00,0.84200 to 0.84700 @  25.00 °C.,1.43600 to 1.43900 @  20.00 °C.,-113.00 to -111.00 °C. @  760.00 mm Hg,67.00 to   68.00 °C. @  760.00 mm Hg,-4.00 °F. TCC (  -20.00 °C. ),alliaceous,"very high ,recommend smelling in a 0.01 % solution or less",at 0.10 % in propylene glycol.,cabbage natural gas sweet onion,,"alcohol; oils; propylene glycol; water, 3780 mg/L @ 25 °C (est); water, 1900 mg/L @ 25 °C (exp)",water
http://www.thegoodscentscompany.com/data/rw1001661.html,propionic acid,pseudoacetic acid,propanoic acid,79-09-4,74.07922000,C3 H6 O2,colorless to pale yellow clear liquid (est),99.00 to 100.00,0.99000 to 1.00000 @  25.00 °C.,1.38500 to 1.38900 @  20.00 °C.,-24.00 to  -23.00 °C. @  760.00 mm Hg,"140.00 to  141.00 °C. @  760.00 mm Hg, 70.00 to   71.00 °C. @   50.00 mm Hg",129.00 °F. TCC (   53.89 °C. ),acidic,"high ,recommend smelling in a 0.10 % solution or less",at 0.10 % in propylene glycol.,pungent acidic cheesy vinegar,"Luebke, William  tgsc, (1989)","alcohol; water, 1.736e+005 mg/L @ 25 °C (est); oils; propylene glycol; water, 1.00E+06 mg/L @ 25 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1034241.html,pyroligneous acids,pyroligneous vinegar,Tidak ditemukan,8030-97-5,Tidak ditemukan,unspecified,yellow to red liquid (est),Tidak ditemukan,1.07010 to 1.09000 @  25.00 °C.,1.37100 to 1.37800 @  20.00 °C.,Tidak ditemukan,98.00 to   99.00 °C. @  760.00 mm Hg,112.00 °F. TCC (   44.44 °C. ),smoky,Tidak ditemukan,at 1.00 % in propylene glycol.,smoke woody phenolic bacon,,"alcohol; propylene glycol; water; water, 4.759e+005 mg/L @ 25 °C (est)",Tidak ditemukan
