URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength,Threshold,Description,Source,Soluble In,Insoluble In
https://www.thegoodscentscompany.com/data/rw1035411.html,fish thiol,2-methyl-3-furanthiol,2-methylfuran-3-thiol,28588-74-1,114.16702000,C5 H6 O S,orange or orange pink clear liquid (est),95.00 to 100.00,1.14100 to 1.15000 @  25.00 °C.,1.50900 to 1.53000 @  20.00 °C.,Tidak ditemukan,57.00 to   60.00 °C. @   44.00 mm Hg,98.00 °F. TCC (   36.67 °C. ),sulfurous,Tidak ditemukan,at 0.10 % in propylene glycol.,sulfury meaty fish metallic,,"alcohol; water, 630.8 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1524961.html,2-tropical oxathiane,"2-methyl-4-propyl-1,3-oxathiane","2-methyl-4-propyl-1,3-oxathiane",67715-80-4,160.27972000,C8 H16 O S,colorless to pale yellow clear liquid (est),95.00 to 100.00 sum of isomers,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,"200.00 to  201.00 °C. @  760.00 mm Hg, 89.00 to   90.00 °C. @   12.00 mm Hg",122.00 °F. TCC (   50.00 °C. ),tropical,"high ,recommend smelling in a 1.00 % solution or less",at 1.00 % in dipropylene glycol.,green tropical galbanum pineapple,,"alcohol; oils; water, 672.1 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1059521.html,2-methyl-1-butanol,2-methylbutan-1-ol,2-methylbutan-1-ol,137-32-6,88.14984000,C5 H12 O,colorless clear liquid (est),99.00 to 100.00 sum of isomers,0.81500 to 0.82000 @  25.00 °C.,1.40900 to 1.41200 @  20.00 °C.,Tidak ditemukan,128.00 to  130.00 °C. @  760.00 mm Hg,110.00 °F. TCC (   43.33 °C. ),ethereal,medium,at 100.00 %.,ethereal fusel alcoholic fatty greasy  winey whiskey leathery cocoa,"Luebke, William  tgsc, (2021)","alcohol; water, 3.22e+004 mg/L @ 25 °C (est); water, 2.97E+04 mg/L @ 25 °C (exp)",Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1056421.html,2-methyl butyric acid,2-methylbutyric acid,2-methylbutanoic acid,116-53-0,102.13310000,C5 H10 O2,colorless to pale yellow clear liquid (est),98.00 to 100.00,0.92900 to 0.93700 @  25.00 °C.,1.40100 to 1.40800 @  20.00 °C.,Tidak ditemukan,176.00 to  177.00 °C. @  760.00 mm Hg,165.00 °F. TCC (   73.89 °C. ),acidic,"medium ,recommend smelling in a 10.00 % solution or less",at 10.00 % in propylene glycol.,pungent acid roquefort cheese,"Luebke, William  tgsc, (1989)","alcohol; propylene glycol; water, 45000 mg/L @ 20 °C (exp)",water
https://www.thegoodscentscompany.com/data/rw1046591.html,tiglyl alcohol,2-methylbut-2-en-1-ol,Tidak ditemukan,4675-87-0,86.13390000,C5 H10 O,colorless clear liquid (est),95.00 to 100.00,0.86300 to 0.86900 @  25.00 °C.,1.43900 to 1.44500 @  20.00 °C.,Tidak ditemukan,137.00 °C. @  760.00 mm Hg,122.00 °F. TCC (   50.00 °C. ),green,Tidak ditemukan,at 10.00 % in dipropylene glycol.,green oily,,"alcohol; water, 4.094e+004 mg/L @ 25 °C (est)",Tidak ditemukan
https://www.thegoodscentscompany.com/data/rw1006481.html,2-methyl-2-pentenoic acid,strawberiff (IFF),2-methylpent-2-enoic acid,3142-72-1,114.14410000,C6 H10 O2,colorless to pale yellow liquid to crystalline solid (est),98.00 to 100.00,0.97900 to 0.98700 @  20.00 °C.,1.45700 to 1.46200 @  20.00 °C.,24.00 to   26.00 °C. @  760.00 mm Hg,"123.00 to  125.00 °C. @   30.00 mm Hg, 112.00 °C. @   12.00 mm Hg",226.00 °F. TCC (  107.78 °C. ),acidic,"medium ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,dry acid sweaty strawberry woody fruity jam,"Luebke, William  tgsc, (1995)","alcohol; dipropylene glycol; water, slightly; water, 6330 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1046991.html,2-methyl-3-(methyl thio) pyrazine,2-methylthio-3-methylpyrazine,2-methyl-3-methylsulfanylpyrazine,2882-20-4,140.20876000,C6 H8 N2 S,Tidak ditemukan,99.00 to 100.00 sum of isomers,1.13300 to 1.15300 @  25.00 °C.,1.57000 to 1.59000 @  20.00 °C.,Tidak ditemukan,"85.00 to   87.00 °C. @   10.00 mm Hg, 213.00 to  214.00 °C. @  760.00 mm Hg",210.00 °F. TCC (   98.89 °C. ),nutty,Tidak ditemukan,at 0.10 % in propylene glycol.,roasted meat nutty almond vegetable,,"alcohol; water, 2379 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1009911.html,phenyl acetic acid,phenylacetic acid,2-phenylacetic acid,103-82-2,136.15016000,C8 H8 O2,white crystalline powder (est),99.00 to 100.00,Tidak ditemukan,Tidak ditemukan,76.00 to   78.00 °C. @  760.00 mm Hg,"265.00 to  266.00 °C. @  760.00 mm Hg, 142.00 to  143.00 °C. @   10.00 mm Hg",212.00 °F. TCC (  100.00 °C. ),honey,"high ,recommend smelling in a 10.00 % solution or less",at 10.00 % in dipropylene glycol.,sweet honey floral honeysuckle sour waxy civet,"Luebke, William  tgsc, (1987)","fixed oils; glycerin; water, 1.348e+004 mg/L @ 25 °C (est)",water
https://www.thegoodscentscompany.com/data/rw1010031.html,phenethyl acetate,"acetic acid, 2-phenylethyl ester",2-phenylethyl acetate,103-45-7,164.20404000,C10 H12 O2,colorless clear liquid (est),98.00 to 100.00,1.02900 to 1.03700 @  20.00 °C.,1.49600 to 1.50200 @  20.00 °C.,-31.10 °C. @  760.00 mm Hg,238.00 to  239.00 °C. @  760.00 mm Hg,221.00 °F. TCC (  105.00 °C. ),floral,medium,at 100.00 %.,floral rose sweet honey fruity tropical,"Luebke, William  tgsc, (1982)","alcohol; dipropylene glycol; fixed oils; kerosene; propylene glycol; water, 710.8 mg/L @ 25 °C (est)",paraffin oil; water; glycerin
https://www.thegoodscentscompany.com/data/rw1049571.html,isopropyl mercaptan,2-propanethiol,propane-2-thiol,75-33-2,76.16176000,C3 H8 S,colorless clear liquid (est),98.00 to 100.00,0.81400 to 0.81900 @  25.00 °C.,1.42800 to 1.43400 @  20.00 °C.,-131.00 °C. @  760.00 mm Hg,57.00 to   60.00 °C. @  760.00 mm Hg,-29.00 °F. TCC (  -33.89 °C. ),alliaceous,"very high ,recommend smelling in a 0.01 % solution or less",at 0.10 % in propylene glycol.,strong ripe onion gassy meaty sulfurous,"Luebke, William  tgsc, 1993)","alcohol; oils; water, 4835 mg/L @ 25 °C (est)",water
