URL,Name,Head Synonym,Compound Name,CAS Number,Molecular Weight,Formula,Appearance,Assay,Specific Gravity,Refractive Index,Melting Point,Boiling Point,Flash Point,Odor Type,Odor Strength,Threshold,Description,Source,Soluble In,Insoluble In
http://www.thegoodscentscompany.com/data/rw1007681.html,butyraldehyde,N-butanal,butanal,123-72-8,72.10696000,C4 H8 O,colorless clear liquid (est),98.00 to 100.00,0.80000 to 0.83500 @  25.00 °C.,1.36000 to 1.39500 @  20.00 °C.,-96.00 °C. @  760.00 mm Hg,74.00 to   75.00 °C. @  760.00 mm Hg,12.00 °F. TCC (  -11.11 °C. ),chocolate,Tidak ditemukan,at 1.00 % in dipropylene glycol.,pungent cocoa musty green malty bready,"Luebke, William  tgsc, (1987)","alcohol; water, 1 part to 27 parts water; water, 2.385e+004 mg/L @ 25 °C (est); water, 7.10E+04 mg/L @ 25 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/ex1091891.html,saccharum officinarum extract,"extract of the sugar cane, saccharum officinarum l., poaceae",Tidak ditemukan,91722-22-4,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan
http://www.thegoodscentscompany.com/data/ab1604541.html,carob bean absolute,st. john's bread absolute,ceratonia siliqua l. absolute,9000-40-2,Tidak ditemukan,Tidak ditemukan,brown dark brown paste (est),Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,fruity,medium,at 100.00 %.,fruity raisin jammy brown cocoa chocolate bready coffee jammy brandy,"Luebke, William  tgsc, (2021)",alcohol,water
http://www.thegoodscentscompany.com/data/rw1027311.html,carvacrol,2-methyl-5-(methylethyl)phenol,2-methyl-5-propan-2-ylphenol,499-75-2,150.22078000,C10 H14 O,colorless to yellow clear viscous liquid (est),98.00 to 100.00,0.97300 to 0.98300 @  25.00 °C.,1.51900 to 1.52900 @  20.00 °C.,1.00 to    3.00 °C. @  760.00 mm Hg,"237.70 °C. @  760.00 mm Hg, 148.00 to  149.00 °C. @   50.00 mm Hg",224.00 °F. TCC (  106.67 °C. ),spicy,medium,at 100.00 %.,spice woody camphor thymol,"Luebke, William  tgsc, (1989)","alcohol; alkalies; ether; sulfuric acid; water, 1250 mg/L @ 25 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1383121.html,citrol,"3,7-dimethyl-2,6-octadienol","3,7-dimethylocta-2,6-dien-1-ol",624-15-7,154.25266000,C10 H18 O,colorless to pale yellow clear liquid (est),95.00 to 100.00 sum of isomers,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,229.00 to  230.00 °C. @  760.00 mm Hg,170.00 °F. TCC (   76.67 °C. ),Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,"alcohol; water, 255.8 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1027821.html,(Z)-4-heptenal,cis-4-heptenal,(Z)-hept-4-enal,6728-31-0,112.17184000,C7 H12 O,colorless to pale yellow clear oily liquid (est),99.00 to 100.00 sum of isomers,0.84300 to 0.85200 @  25.00 °C.,1.43200 to 1.43600 @  20.00 °C.,Tidak ditemukan,60.00 °C. @   30.00 mm Hg,110.00 °F. TCC (   43.33 °C. ),green,"very high ,recommend smelling in a 0.01 % solution or less",at 0.10 % in dipropylene glycol.,oily fatty green dairy milky creamy,"Luebke, William  tgsc, (2009)","alcohol; fixed oils; water, 1810 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1000441.html,citric acid,"1,2,3-propanetricarboxylic acid, 2-hydroxy-","2-hydroxypropane-1,2,3-tricarboxylic acid",77-92-9,192.12416000,C6 H8 O7,white crystals (est),98.00 to 100.00,Tidak ditemukan,Tidak ditemukan,152.00 to  154.00 °C. @  760.00 mm Hg,309.00 to  310.00 °C. @  760.00 mm Hg,> 230.00 °F. TCC ( > 110.00 °C. ),odorless,none,at 100.00 %.,odorless,,"water, 592000 mg/L @ 20 °C (exp)",Tidak ditemukan
http://www.thegoodscentscompany.com/data/ex1058971.html,theobroma cacao extract,"extract of the bark and seeds of the cocoa, theobroma cacao l., sterculiaceae",Tidak ditemukan,84649-99-0,Tidak ditemukan,Tidak ditemukan,brown to dark brown liquid (est),Tidak ditemukan,0.96000 to 1.10000 @  25.00 °C.,1.30000 to 1.40000 @  20.00 °C.,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,cocoa,medium,at 100.00 %.,cocoa chocolate dark chocolate roasted powdery milk chocolate beany nut skin,"Luebke, William  tgsc, (2021)",alcohol; water,Tidak ditemukan
http://www.thegoodscentscompany.com/data/ex1391071.html,roasted coffee bean extract,coffee grounds extract,Tidak ditemukan,68916-18-7,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,Tidak ditemukan,coffee,Tidak ditemukan,at 100.00 %.,coffee,,Tidak ditemukan,Tidak ditemukan
http://www.thegoodscentscompany.com/data/rw1597401.html,"N-ethyl-2,2-diisopropyl butanamide","N,2-diethyl-3-methyl-2-propan-2-ylbutanamide",Tidak ditemukan,51115-70-9,199.33745000,C12 H25 N O,white crystalline solid (est),99.00 to 100.00,Tidak ditemukan,Tidak ditemukan,36.00 to   40.00 °C. @  760.00 mm Hg,258.00 to  259.00 °C. @  760.00 mm Hg,306.00 °F. TCC (  152.22 °C. ),cooling,Tidak ditemukan,,cooling minty,,"alcohol; water, 48.39 mg/L @ 25 °C (est)",water
http://www.thegoodscentscompany.com/data/rw1593861.html,WS-5,N-[(ethoxycarbonyl)methyl)-p-menthane-3-carboxamide,"ethyl 2-[[(1R,2S,5R)-5-methyl-2-propan-2-ylcyclohexanecarbonyl]amino]acetate",68489-14-5,269.38479000,C15 H27 N O3,white crystalline powder (est),99.00 to 100.00,Tidak ditemukan,Tidak ditemukan,80.00 to   82.00 °C. @  760.00 mm Hg,151.00 °C. @    2.00 mm Hg,374.00 °F. TCC (  190.00 °C. ),mentholic,Tidak ditemukan,at 100.00 %.,mentholic,,"alcohol; water, 9.51 mg/L @ 25 °C (est)",water
